!51mn -> 51cr, e- capture
!Q=-2.696 MeV
!
!rhoY         temp          mu             dQ    Vs     e-cap-rate        nu-energy-loss gamma-energy
!g/cm^3       K             1/s            erg   erg    1/s               erg/s          erg/s
1.000000e+01  1.000000e+07  -4.806530e-09  0.00  0.00   1.428894e-08      4.642056e-10   0.00  
1.000000e+01  1.000000e+08  -9.292624e-08  0.00  0.00   4.591980e-09      4.642056e-10   0.00  
1.000000e+01  2.000000e+08  -2.146917e-07  0.00  0.00   3.311311e-09      4.642056e-10   0.00  
1.000000e+01  4.000000e+08  -4.902661e-07  0.00  0.00   2.454709e-09      4.652757e-10   0.00  
1.000000e+01  7.000000e+08  -8.058948e-07  0.00  0.00   8.851156e-09      4.739258e-10   0.00  
1.000000e+01  1.000000e+09  -8.187123e-07  0.00  0.00   1.717908e-07      4.951199e-10   0.00  
1.000000e+01  1.500000e+09  -8.187123e-07  0.00  0.00   2.529298e-06      5.441397e-10   0.00  
1.000000e+01  2.000000e+09  -8.187123e-07  0.00  0.00   1.221800e-05      6.233190e-10   0.00  
1.000000e+01  3.000000e+09  -8.187123e-07  0.00  0.00   8.729714e-05      1.060988e-09   0.00  
1.000000e+01  5.000000e+09  -8.187123e-07  0.00  0.00   1.013911e-03      6.929636e-09   0.00  
1.000000e+01  1.000000e+10  -8.187123e-07  0.00  0.00   5.807644e-02      5.580979e-07   0.00  
1.000000e+01  3.000000e+10  -8.187123e-07  0.00  0.00   4.305266e+01      8.968305e-04   0.00  
1.000000e+01  1.000000e+11  -8.187123e-07  0.00  0.00   2.642409e+04      1.781191e+00   0.00  
1.000000e+02  1.000000e+07  -1.602177e-09  0.00  0.00   1.364583e-07      4.652757e-10   0.00  
1.000000e+02  1.000000e+08  -6.088271e-08  0.00  0.00   4.581419e-08      4.642056e-10   0.00  
1.000000e+02  2.000000e+08  -1.522068e-07  0.00  0.00   3.311311e-08      4.642056e-10   0.00  
1.000000e+02  4.000000e+08  -3.636941e-07  0.00  0.00   2.454709e-08      4.652757e-10   0.00  
1.000000e+02  7.000000e+08  -7.145708e-07  0.00  0.00   2.290868e-08      4.739258e-10   0.00  
1.000000e+02  1.000000e+09  -8.107014e-07  0.00  0.00   1.803018e-07      4.951199e-10   0.00  
1.000000e+02  1.500000e+09  -8.187123e-07  0.00  0.00   2.540973e-06      5.441397e-10   0.00  
1.000000e+02  2.000000e+09  -8.187123e-07  0.00  0.00   1.221800e-05      6.233190e-10   0.00  
1.000000e+02  3.000000e+09  -8.187123e-07  0.00  0.00   8.729714e-05      1.060988e-09   0.00  
1.000000e+02  5.000000e+09  -8.187123e-07  0.00  0.00   1.013911e-03      6.929636e-09   0.00  
1.000000e+02  1.000000e+10  -8.187123e-07  0.00  0.00   5.807644e-02      5.580979e-07   0.00  
1.000000e+02  3.000000e+10  -8.187123e-07  0.00  0.00   4.305266e+01      8.968305e-04   0.00  
1.000000e+02  1.000000e+11  -8.187123e-07  0.00  0.00   2.642409e+04      1.781191e+00   0.00  
1.000000e+03  1.000000e+07   3.204353e-09  0.00  0.00   1.009253e-06      4.695809e-10   0.00  
1.000000e+03  1.000000e+08  -2.883918e-08  0.00  0.00   4.518559e-07      4.663483e-10   0.00  
1.000000e+03  2.000000e+08  -8.811971e-08  0.00  0.00   3.296097e-07      4.663483e-10   0.00  
1.000000e+03  4.000000e+08  -2.355200e-07  0.00  0.00   2.449063e-07      4.663483e-10   0.00  
1.000000e+03  7.000000e+08  -5.030835e-07  0.00  0.00   2.032357e-07      4.750184e-10   0.00  
1.000000e+03  1.000000e+09  -7.450121e-07  0.00  0.00   2.897344e-07      4.962613e-10   0.00  
1.000000e+03  1.500000e+09  -8.107014e-07  0.00  0.00   2.624219e-06      5.441397e-10   0.00  
1.000000e+03  2.000000e+09  -8.171101e-07  0.00  0.00   1.230269e-05      6.233190e-10   0.00  
1.000000e+03  3.000000e+09  -8.187123e-07  0.00  0.00   8.749838e-05      1.060988e-09   0.00  
1.000000e+03  5.000000e+09  -8.187123e-07  0.00  0.00   1.013911e-03      6.929636e-09   0.00  
1.000000e+03  1.000000e+10  -8.187123e-07  0.00  0.00   5.807644e-02      5.580979e-07   0.00  
1.000000e+03  3.000000e+10  -8.187123e-07  0.00  0.00   4.305266e+01      8.968305e-04   0.00  
1.000000e+03  1.000000e+11  -8.187123e-07  0.00  0.00   2.642409e+04      1.781191e+00   0.00  
1.000000e+04  1.000000e+07   1.922612e-08  0.00  0.00   5.164164e-06      4.894523e-10   0.00  
1.000000e+04  1.000000e+08   8.010883e-09  0.00  0.00   3.999447e-06      4.838496e-10   0.00  
1.000000e+04  2.000000e+08  -2.082830e-08  0.00  0.00   3.147748e-06      4.794136e-10   0.00  
1.000000e+04  4.000000e+08  -1.073458e-07  0.00  0.00   2.415461e-06      4.772109e-10   0.00  
1.000000e+04  7.000000e+08  -2.787787e-07  0.00  0.00   2.018366e-06      4.838496e-10   0.00  
1.000000e+04  1.000000e+09  -4.838573e-07  0.00  0.00   1.905461e-06      5.043249e-10   0.00  
1.000000e+04  1.500000e+09  -7.434100e-07  0.00  0.00   3.630781e-06      5.491745e-10   0.00  
1.000000e+04  2.000000e+09  -7.962818e-07  0.00  0.00   1.321296e-05      6.290865e-10   0.00  
1.000000e+04  3.000000e+09  -8.123036e-07  0.00  0.00   8.851156e-05      1.068342e-09   0.00  
1.000000e+04  5.000000e+09  -8.171101e-07  0.00  0.00   1.013911e-03      6.945610e-09   0.00  
1.000000e+04  1.000000e+10  -8.187123e-07  0.00  0.00   5.807644e-02      5.580979e-07   0.00  
1.000000e+04  3.000000e+10  -8.187123e-07  0.00  0.00   4.305266e+01      8.968305e-04   0.00  
1.000000e+04  1.000000e+11  -8.187123e-07  0.00  0.00   2.642409e+04      1.781191e+00   0.00  
1.000000e+05  1.000000e+07   8.491536e-08  0.00  0.00   2.594179e-05      5.925301e-10   0.00  
1.000000e+05  1.000000e+08   8.331318e-08  0.00  0.00   2.552701e-05      5.898076e-10   0.00  
1.000000e+05  2.000000e+08   7.530230e-08  0.00  0.00   2.432204e-05      5.844003e-10   0.00  
1.000000e+05  4.000000e+08   4.165659e-08  0.00  0.00   2.172701e-05      5.724142e-10   0.00  
1.000000e+05  7.000000e+08  -4.165659e-08  0.00  0.00   1.940886e-05      5.710977e-10   0.00  
1.000000e+05  1.000000e+09  -1.570133e-07  0.00  0.00   1.857804e-05      5.884511e-10   0.00  
1.000000e+05  1.500000e+09  -3.941355e-07  0.00  0.00   1.892344e-05      6.276397e-10   0.00  
1.000000e+05  2.000000e+09  -6.136337e-07  0.00  0.00   2.529298e-05      6.913698e-10   0.00  
1.000000e+05  3.000000e+09  -7.626361e-07  0.00  0.00   9.977001e-05      1.129043e-09   0.00  
