!52sc -> 52ti, beta-decay
!Q=-9.521 MeV
!
!rhoY         temp           mu            dQ    VS     beta-decay-rate   nu-energy-loss   gamma-energy
!g/cm^3       K              1/s           erg   erg    1/s               erg/s            erg/s
1.000000e+01  1.000000e+07  -4.806530e-09  0.00  0.00   1.127197e-01      5.354395e-07     0.00  
1.000000e+01  1.000000e+08  -9.292624e-08  0.00  0.00   1.018591e-01      4.750184e-07     0.00  
1.000000e+01  2.000000e+08  -2.146917e-07  0.00  0.00   9.616123e-02      4.422933e-07     0.00  
1.000000e+01  4.000000e+08  -4.902661e-07  0.00  0.00   9.289664e-02      4.233606e-07     0.00  
1.000000e+01  7.000000e+08  -8.058948e-07  0.00  0.00   9.141132e-02      4.156334e-07     0.00  
1.000000e+01  1.000000e+09  -8.187123e-07  0.00  0.00   9.036495e-02      4.099307e-07     0.00  
1.000000e+01  1.500000e+09  -8.187123e-07  0.00  0.00   8.912509e-02      4.024486e-07     0.00  
1.000000e+01  2.000000e+09  -8.187123e-07  0.00  0.00   8.830799e-02      3.987589e-07     0.00  
1.000000e+01  3.000000e+09  -8.187123e-07  0.00  0.00   9.225714e-02      4.362248e-07     0.00  
1.000000e+01  5.000000e+09  -8.187123e-07  0.00  0.00   1.588547e-01      1.027331e-06     0.00  
1.000000e+01  1.000000e+10  -8.187123e-07  0.00  0.00   6.745280e-01      6.378380e-06     0.00  
1.000000e+01  3.000000e+10  -8.187123e-07  0.00  0.00   1.435489e+00      4.402612e-04     0.00  
1.000000e+01  1.000000e+11  -8.187123e-07  0.00  0.00   9.977001e-01      4.322255e-01     0.00  
1.000000e+02  1.000000e+07  -1.602177e-09  0.00  0.00   1.127197e-01      5.354395e-07     0.00  
1.000000e+02  1.000000e+08  -6.088271e-08  0.00  0.00   1.018591e-01      4.750184e-07     0.00  
1.000000e+02  2.000000e+08  -1.522068e-07  0.00  0.00   9.616123e-02      4.422933e-07     0.00  
1.000000e+02  4.000000e+08  -3.636941e-07  0.00  0.00   9.289664e-02      4.233606e-07     0.00  
