!52ti -> 52v, beta-decay
!Q=-2.484 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -2.165000              1.193192e-08     0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -2.165000              1.193192e-08     0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -2.165000              1.193192e-08     0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -2.165000              1.193192e-08     0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -2.165000              1.193192e-08     0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -2.165000              1.193192e-08     0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -2.165000              1.198700e-08     0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -2.164000              1.223800e-08     0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -2.145000              1.471331e-08     0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -1.947000              4.652757e-08     0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -0.911000              1.116119e-06     0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.026000               2.146399e-04     0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   0.140000               1.993932e-01     0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -2.165000              1.193192e-08     0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -2.165000              1.193192e-08     0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -2.165000              1.193192e-08     0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -2.165000              1.193192e-08     0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -2.165000              1.193192e-08     0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -2.165000              1.193192e-08     0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -2.165000              1.198700e-08     0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -2.164000              1.223800e-08     0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -2.145000              1.471331e-08     0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -1.947000              4.652757e-08     0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -0.911000              1.116119e-06     0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.026000               2.146399e-04     0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   0.140000               1.993932e-01     0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -2.165000              1.193192e-08     0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -2.165000              1.193192e-08     0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -2.165000              1.193192e-08     0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -2.165000              1.193192e-08     0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -2.165000              1.193192e-08     0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -2.165000              1.193192e-08     0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -2.165000              1.195943e-08     0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -2.164000              1.220985e-08     0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -2.145000              1.471331e-08     0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -1.947000              4.652757e-08     0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -0.911000              1.116119e-06     0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   0.026000               2.146399e-04     0.00  
3.000000      11.000000     -8.187123e-07  0.00  0.00   0.140000               1.993932e-01     0.00  
