!52v -> 52cr, beta-decay
!Q=-4.4864 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -2.508000              -8.139290e+00         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -2.580000              -8.211290e+00         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -2.701000              -8.335290e+00         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -2.763000              -8.378290e+00         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -2.672000              -8.229290e+00         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -2.576995              -8.101290e+00         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -2.480914              -7.983290e+00         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -2.427568              -7.920290e+00         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -2.362971              -7.840290e+00         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -2.192818              -7.609290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -1.455553              -6.662290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.899792               -3.823290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   3.639033               -5.502896e-01         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -2.508000              -8.139290e+00         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -2.580000              -8.211290e+00         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -2.701000              -8.335290e+00         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -2.763000              -8.378290e+00         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -2.672000              -8.229290e+00         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -2.576995              -8.101290e+00         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -2.480914              -7.983290e+00         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -2.427568              -7.920290e+00         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -2.362971              -7.840290e+00         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -2.192818              -7.609290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -1.455553              -6.662290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.899792               -3.823290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   3.639033               -5.502896e-01         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -2.509000              -8.139290e+00         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -2.580000              -8.212290e+00         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -2.701000              -8.335290e+00         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -2.763000              -8.378290e+00         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -2.672000              -8.229290e+00         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -2.576997              -8.101290e+00         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -2.480917              -7.983290e+00         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -2.427571              -7.920290e+00         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -2.362978              -7.840290e+00         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -2.192818              -7.609290e+00         -100.00
