!53cr -> 53v, e- capture
!Q=3.947 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -96.655803             -1.037323e+02         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -52.912000             -5.968129e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -33.325000             -3.984329e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -24.316999             -3.067429e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -17.059986             -2.323029e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -13.294928             -1.932829e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -9.351581              -1.518429e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -5.925367              -1.148629e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.722499              -7.909290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.085534               -3.593290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.144050               -2.528961e-02         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -95.655980             -1.027323e+02         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -51.912000             -5.868129e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -32.911000             -3.943029e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -24.295999             -3.065329e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -17.058986             -2.322929e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -13.294928             -1.932829e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -9.351581              -1.518429e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -5.925367              -1.148629e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.722499              -7.909290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.085534               -3.593290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.144050               -2.528961e-02         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -94.649998             -1.017263e+02         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -50.910000             -5.767929e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -31.963000             -3.848229e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -24.089999             -3.044729e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -17.043987             -2.321429e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -13.291928             -1.932529e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -9.350582              -1.518329e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -5.925367              -1.148629e+01         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -2.722499              -7.909290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   1.085534               -3.593290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   4.144050               -2.528961e-02         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -93.595000             -1.006713e+02         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -49.892000             -5.666229e+01         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -30.957000             -3.747629e+01         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -23.268000             -2.962529e+01         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -16.902990             -2.307229e+01         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -13.259933             -1.929329e+01         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -9.345585              -1.517829e+01         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -5.924367              -1.148529e+01         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   -2.722499              -7.909290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   1.085534               -3.593290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   4.144050               -2.528961e-02         -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   -92.092000             -9.916929e+01         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   -48.722000             -5.549129e+01         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   -29.891000             -3.641029e+01         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   -22.237000             -2.859429e+01         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   -16.168998             -2.233929e+01         -100.00
