!53mn -> 53fe, beta-decay
!Q=3.232 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.999000             -1.057323e+02         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -56.420000             -5.686429e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -35.311000             -3.588129e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -26.402000             -2.819229e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -19.051000             -2.200929e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -15.136000             -1.875129e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -10.939000             -1.523729e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -7.167000              -1.192429e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -3.952000              -8.452290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   -1.707000              -4.510290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   -0.753000              -1.213290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -56.421000             -5.786429e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -35.311000             -3.629429e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -26.402000             -2.821429e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -19.051000             -2.201029e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -15.136000             -1.875129e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -10.939000             -1.523729e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -7.167000              -1.192429e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -3.952000              -8.452290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   -1.707000              -4.510290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   -0.753000              -1.213290e+00         -100.00
