!54co -> 54fe, e- capture
!Q=-7.732 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -5.201000              2.112080e-05   0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -5.696000              2.112080e-05   0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -5.842000              2.112080e-05   0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -5.999000              2.017021e-05   0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -5.628000              1.360537e-05   0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -4.565000              8.505707e-06   0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -3.662000              5.043249e-06   0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -3.147000              3.755869e-06   0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -2.497000              2.895412e-06   0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -1.644000              3.196763e-06   0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -0.284000              1.204233e-05   0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   2.129000               3.204132e-03   0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.779000               4.223869e+00   0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -4.221000              2.112080e-05   0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -4.697000              2.112080e-05   0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -4.842000              2.112080e-05   0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -4.999000              2.017021e-05   0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -5.214000              1.360537e-05   0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -4.544000              8.505707e-06   0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -3.661000              5.043249e-06   0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -3.147000              3.755869e-06   0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -2.497000              2.895412e-06   0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -1.644000              3.196763e-06   0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -0.284000              1.204233e-05   0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   2.129000               3.204132e-03   0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.779000               4.223869e+00   0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -3.352000              2.112080e-05   0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -3.703000              2.112080e-05   0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -3.844000              2.112080e-05   0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -4.000000              2.017021e-05   0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -4.267000              1.360537e-05   0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -4.338000              8.505707e-06   0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -3.646000              5.043249e-06   0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -3.144000              3.755869e-06   0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -2.497000              2.895412e-06   0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -1.644000              3.196763e-06   0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -0.284000              1.204233e-05   0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   2.129000               3.204132e-03   0.00  
3.000000      11.000000     -8.187123e-07  0.00  0.00   4.779000               4.223869e+00   0.00  
4.000000      7.000000       1.922612e-08  0.00  0.00   -2.645000              2.116949e-05   0.00  
4.000000      8.000000       8.010883e-09  0.00  0.00   -2.757000              2.116949e-05   0.00  
4.000000      8.301030      -2.082830e-08  0.00  0.00   -2.865000              2.112080e-05   0.00  
4.000000      8.602060      -1.073458e-07  0.00  0.00   -3.006000              2.021671e-05   0.00  
4.000000      8.845098      -2.787787e-07  0.00  0.00   -3.270000              1.360537e-05   0.00  
4.000000      9.000000      -4.838573e-07  0.00  0.00   -3.520000              8.505707e-06   0.00  
4.000000      9.176091      -7.434100e-07  0.00  0.00   -3.506000              5.043249e-06   0.00  
4.000000      9.301030      -7.962818e-07  0.00  0.00   -3.113000              3.755869e-06   0.00  
4.000000      9.477121      -8.123036e-07  0.00  0.00   -2.491000              2.895412e-06   0.00  
4.000000      9.698970      -8.171101e-07  0.00  0.00   -1.643000              3.196763e-06   0.00  
4.000000      10.000000     -8.187123e-07  0.00  0.00   -0.284000              1.204233e-05   0.00  
4.000000      10.477121     -8.187123e-07  0.00  0.00   2.129000               3.204132e-03   0.00  
4.000000      11.000000     -8.187123e-07  0.00  0.00   4.779000               4.223869e+00   0.00  
5.000000      7.000000       8.491536e-08  0.00  0.00   -1.951000              2.126720e-05   0.00  
5.000000      8.000000       8.331318e-08  0.00  0.00   -1.959000              2.126720e-05   0.00  
5.000000      8.301030       7.530230e-08  0.00  0.00   -1.981000              2.126720e-05   0.00  
5.000000      8.602060       4.165659e-08  0.00  0.00   -2.056000              2.031002e-05   0.00  
5.000000      8.845098      -4.165659e-08  0.00  0.00   -2.290000              1.366817e-05   0.00  
5.000000      9.000000      -1.570133e-07  0.00  0.00   -2.533000              8.544967e-06   0.00  
5.000000      9.176091      -3.941355e-07  0.00  0.00   -2.790000              5.066527e-06   0.00  
5.000000      9.301030      -6.136337e-07  0.00  0.00   -2.831000              3.764527e-06   0.00  
5.000000      9.477121      -7.626361e-07  0.00  0.00   -2.440000              2.902087e-06   0.00  
5.000000      9.698970      -8.042927e-07  0.00  0.00   -1.635000              3.204132e-06   0.00  
5.000000      10.000000     -8.155079e-07  0.00  0.00   -0.283000              1.207009e-05   0.00  
5.000000      10.477121     -8.187123e-07  0.00  0.00   2.129000               3.204132e-03   0.00  
5.000000      11.000000     -8.187123e-07  0.00  0.00   4.779000               4.223869e+00   0.00  
6.000000      7.000000       3.444680e-07  0.00  0.00   -1.175000              2.201458e-05   0.00  
6.000000      8.000000       3.428658e-07  0.00  0.00   -1.175000              2.201458e-05   0.00  
6.000000      8.301030       3.412636e-07  0.00  0.00   -1.176000              2.201458e-05   0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -1.199000              2.102376e-05   0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -1.377000              1.418112e-05   0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -1.587000              8.845256e-06   0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -1.823000              5.244576e-06   0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -1.956000              3.887858e-06   0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -2.025000              2.983393e-06   0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -1.557000              3.271225e-06   0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -0.274000              1.220985e-05   0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   2.129000               3.204132e-03   0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   4.779000               4.223869e+00   0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -0.265000              2.868867e-05   0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -0.265000              2.868867e-05   0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -0.265000              2.868867e-05   0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -0.284000              2.739747e-05   0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   -0.452000              1.852296e-05   0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   -0.650000              1.160674e-05   0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   -0.865000              6.913698e-06   0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   -0.984000              5.172618e-06   0.00  
7.000000      9.477121       8.171101e-07  0.00  0.00   -1.081000              3.996781e-06   0.00  
7.000000      9.698970       2.996070e-07  0.00  0.00   -1.012000              4.243365e-06   0.00  
7.000000      10.000000     -5.046856e-07  0.00  0.00   -0.190000              1.389026e-05   0.00  
7.000000      10.477121     -7.850666e-07  0.00  0.00   2.132000               3.226342e-03   0.00  
7.000000      11.000000     -8.155079e-07  0.00  0.00   4.779000               4.223869e+00   0.00  
8.000000      7.000000       3.101814e-06  0.00  0.00   0.777000               1.118692e-04   0.00  
8.000000      8.000000       3.101814e-06  0.00  0.00   0.778000               1.118692e-04   0.00  
8.000000      8.301030       3.100212e-06  0.00  0.00   0.777000               1.118692e-04   0.00  
8.000000      8.602060       3.098610e-06  0.00  0.00   0.758000               1.070805e-04   0.00  
8.000000      8.845098       3.093803e-06  0.00  0.00   0.592000               7.256219e-05   0.00  
8.000000      9.000000       3.085792e-06  0.00  0.00   0.398000               4.578365e-05   0.00  
8.000000      9.176091       3.064964e-06  0.00  0.00   0.188000               2.765097e-05   0.00  
8.000000      9.301030       3.036125e-06  0.00  0.00   0.075000               2.092716e-05   0.00  
8.000000      9.477121       2.954414e-06  0.00  0.00   -0.014000              1.654666e-05   0.00  
8.000000      9.698970       2.693259e-06  0.00  0.00   0.036000               1.801816e-05   0.00  
8.000000      10.000000      1.573337e-06  0.00  0.00   0.399000               4.071087e-05   0.00  
8.000000      10.477121     -4.838573e-07  0.00  0.00   2.163000               3.465057e-03   0.00  
8.000000      11.000000     -7.882709e-07  0.00  0.00   4.780000               4.233606e+00   0.00  
9.000000      7.000000       7.480563e-06  0.00  0.00   1.975000               1.635725e-03   0.00  
9.000000      8.000000       7.480563e-06  0.00  0.00   1.975000               1.635725e-03   0.00  
9.000000      8.301030       7.480563e-06  0.00  0.00   1.975000               1.635725e-03   0.00  
9.000000      8.602060       7.480563e-06  0.00  0.00   1.958000               1.565707e-03   0.00  
9.000000      8.845098       7.477358e-06  0.00  0.00   1.808000               1.073273e-03   0.00  
9.000000      9.000000       7.474154e-06  0.00  0.00   1.640000               6.929636e-04   0.00  
9.000000      9.176091       7.464541e-06  0.00  0.00   1.475000               4.342206e-04   0.00  
9.000000      9.301030       7.450121e-06  0.00  0.00   1.394000               3.386183e-04   0.00  
9.000000      9.477121       7.413271e-06  0.00  0.00   1.336000               2.771471e-04   0.00  
9.000000      9.698970       7.291506e-06  0.00  0.00   1.370000               2.997163e-04   0.00  
9.000000      10.000000      6.724335e-06  0.00  0.00   1.600000               5.724142e-04   0.00  
9.000000      10.477121      2.340780e-06  0.00  0.00   2.446000               6.678984e-03   0.00  
9.000000      11.000000     -5.191052e-07  0.00  0.00   4.788000               4.322255e+00   0.00  
10.000000     7.000000       1.699429e-05  0.00  0.00   3.393000               5.244576e-02   0.00  
10.000000     8.000000       1.699429e-05  0.00  0.00   3.393000               5.244576e-02   0.00  
10.000000     8.301030       1.699429e-05  0.00  0.00   3.393000               5.244576e-02   0.00  
10.000000     8.602060       1.699429e-05  0.00  0.00   3.381000               5.054875e-02   0.00  
10.000000     8.845098       1.699269e-05  0.00  0.00   3.279000               3.747230e-02   0.00  
10.000000     9.000000       1.699108e-05  0.00  0.00   3.180000               2.727159e-02   0.00  
10.000000     9.176091       1.698628e-05  0.00  0.00   3.097000               2.040377e-02   0.00  
10.000000     9.301030       1.697987e-05  0.00  0.00   3.062000               1.789412e-02   0.00  
10.000000     9.477121       1.696224e-05  0.00  0.00   3.039000               1.624465e-02   0.00  
10.000000     9.698970       1.690617e-05  0.00  0.00   3.048000               1.681552e-02   0.00  
10.000000     10.000000      1.664181e-05  0.00  0.00   3.135000               2.315850e-02   0.00  
10.000000     10.477121      1.386203e-05  0.00  0.00   3.501000               8.235887e-02   0.00  
10.000000     11.000000      2.164541e-06  0.00  0.00   4.870000               5.232514e+00   0.00  
11.000000     7.000000       3.752778e-05  0.00  0.00   4.976000               3.301493e+00   0.00  
11.000000     8.000000       3.752778e-05  0.00  0.00   4.976000               3.301493e+00   0.00  
11.000000     8.301030       3.752778e-05  0.00  0.00   4.976000               3.301493e+00   0.00  
11.000000     8.602060       3.752778e-05  0.00  0.00   4.968000               3.226342e+00   0.00  
11.000000     8.845098       3.752618e-05  0.00  0.00   4.907000               2.689741e+00   0.00  
11.000000     9.000000       3.752618e-05  0.00  0.00   4.853000               2.273581e+00   0.00  
11.000000     9.176091       3.752298e-05  0.00  0.00   4.813000               1.989346e+00   0.00  
11.000000     9.301030       3.752137e-05  0.00  0.00   4.797000               1.886733e+00   0.00  
