!54cr -> 54mn, beta-decay
!Q=0.8661 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -98.051000             3.529477e-105    0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -52.088000             1.284430e-58     0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -29.107000             5.148852e-34     0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -19.257000             1.643276e-23     0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -15.261000             5.054875e-20     0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -11.610000             5.196494e-17     0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -9.399000              3.301493e-15     0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -6.945000              5.750563e-13     0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -4.506000              1.801816e-10     0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.030000              1.036837e-07     0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   -0.499000              2.470076e-04     0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   -0.078000              3.586827e-01     0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -98.051000             3.465057e-105    0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -52.089000             4.137237e-59     0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -29.107000             5.416396e-35     0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -19.257000             6.363710e-24     0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -15.261000             4.816265e-20     0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -11.610000             5.172618e-17     0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -9.399000              3.301493e-15     0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -6.945000              5.750563e-13     0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -4.506000              1.801816e-10     0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.030000              1.036837e-07     0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   -0.499000              2.470076e-04     0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   -0.078000              3.586827e-01     0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -98.054000             3.433289e-105    0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -52.090000             3.256195e-59     0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -29.108000             8.122887e-36     0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -19.258000             7.357163e-25     0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -15.262000             3.004072e-20     0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -11.610000             5.020077e-17     0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -9.400000              3.278766e-15     0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -6.945000              5.750563e-13     0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -4.506000              1.801816e-10     0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -2.030000              1.036837e-07     0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   -0.499000              2.470076e-04     0.00  
3.000000      11.000000     -8.187123e-07  0.00  0.00   -0.078000              3.586827e-01     0.00  
4.000000      7.000000       1.922612e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
4.000000      8.000000       8.010883e-09  0.00  0.00   -98.075000             3.226342e-105    0.00  
4.000000      8.301030      -2.082830e-08  0.00  0.00   -52.106000             3.024896e-59     0.00  
4.000000      8.602060      -1.073458e-07  0.00  0.00   -29.119000             3.433289e-36     0.00  
4.000000      8.845098      -2.787787e-07  0.00  0.00   -19.264000             9.177204e-26     0.00  
4.000000      9.000000      -4.838573e-07  0.00  0.00   -15.265000             4.761134e-21     0.00  
4.000000      9.176091      -7.434100e-07  0.00  0.00   -11.610000             3.695816e-17     0.00  
4.000000      9.301030      -7.962818e-07  0.00  0.00   -9.400000              3.088235e-15     0.00  
4.000000      9.477121      -8.123036e-07  0.00  0.00   -6.945000              5.697842e-13     0.00  
4.000000      9.698970      -8.171101e-07  0.00  0.00   -4.506000              1.797672e-10     0.00  
4.000000      10.000000     -8.187123e-07  0.00  0.00   -2.030000              1.034452e-07     0.00  
4.000000      10.477121     -8.187123e-07  0.00  0.00   -0.499000              2.470076e-04     0.00  
4.000000      11.000000     -8.187123e-07  0.00  0.00   -0.078000              3.586827e-01     0.00  
5.000000      7.000000       8.491536e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
5.000000      8.000000       8.331318e-08  0.00  0.00   -98.203000             2.211619e-105    0.00  
5.000000      8.301030       7.530230e-08  0.00  0.00   -52.225000             2.136537e-59     0.00  
5.000000      8.602060       4.165659e-08  0.00  0.00   -29.211000             2.310524e-36     0.00  
5.000000      8.845098      -4.165659e-08  0.00  0.00   -19.326000             2.402760e-26     0.00  
5.000000      9.000000      -1.570133e-07  0.00  0.00   -15.305000             6.602530e-22     0.00  
5.000000      9.176091      -3.941355e-07  0.00  0.00   -11.621000             8.906568e-18     0.00  
5.000000      9.301030      -6.136337e-07  0.00  0.00   -9.403000              1.843785e-15     0.00  
5.000000      9.477121      -7.626361e-07  0.00  0.00   -6.947000              5.268784e-13     0.00  
5.000000      9.698970      -8.042927e-07  0.00  0.00   -4.506000              1.781191e-10     0.00  
5.000000      10.000000     -8.155079e-07  0.00  0.00   -2.030000              1.034452e-07     0.00  
5.000000      10.477121     -8.187123e-07  0.00  0.00   -0.499000              2.470076e-04     0.00  
5.000000      11.000000     -8.187123e-07  0.00  0.00   -0.078000              3.586827e-01     0.00  
6.000000      7.000000       3.444680e-07  0.00  0.00   -99.999000             1.605870e-106    0.00  
6.000000      8.000000       3.428658e-07  0.00  0.00   -98.967000             2.640647e-106    0.00  
6.000000      8.301030       3.412636e-07  0.00  0.00   -52.969000             2.689741e-60     0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -29.874000             3.687316e-37     0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -19.833000             4.928450e-27     0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -15.633000             1.427941e-22     0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -11.714000             2.533439e-18     0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -9.451000              6.077296e-16     0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -6.964000              3.074046e-13     0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -4.509000              1.631963e-10     0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -2.030000              1.020259e-07     0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   -0.499000              2.470076e-04     0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   -0.078000              3.586827e-01     0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -62.207000             4.939812e-70     0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -34.994000             1.624465e-42     0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   -22.396000             2.216718e-29     0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   -16.779000             1.184978e-23     0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   -12.219000             5.568143e-19     0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   -9.794000              1.873745e-16     0.00  
7.000000      9.477121       8.171101e-07  0.00  0.00   -7.145000              1.243685e-13     0.00  
7.000000      9.698970       2.996070e-07  0.00  0.00   -4.553000              1.017912e-10     0.00  
7.000000      10.000000     -5.046856e-07  0.00  0.00   -2.036000              9.051288e-08     0.00  
7.000000      10.477121     -7.850666e-07  0.00  0.00   -0.499000              2.453073e-04     0.00  
7.000000      11.000000     -8.155079e-07  0.00  0.00   -0.078000              3.586827e-01     0.00  
8.000000      7.000000       3.101814e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
8.000000      8.000000       3.101814e-06  0.00  0.00   -99.999000             1.605870e-106    0.00  
8.000000      8.301030       3.100212e-06  0.00  0.00   -90.147000             5.817152e-98     0.00  
8.000000      8.602060       3.098610e-06  0.00  0.00   -47.486000             5.305305e-55     0.00  
8.000000      8.845098       3.093803e-06  0.00  0.00   -28.800000             4.838496e-36     0.00  
8.000000      9.000000       3.085792e-06  0.00  0.00   -21.074000             3.825695e-28     0.00  
8.000000      9.176091       3.064964e-06  0.00  0.00   -14.844000             9.587611e-22     0.00  
8.000000      9.301030       3.036125e-06  0.00  0.00   -11.601000             2.232083e-18     0.00  
8.000000      9.477121       2.954414e-06  0.00  0.00   -8.137000              1.121270e-14     0.00  
8.000000      9.698970       2.693259e-06  0.00  0.00   -4.882000              3.843354e-11     0.00  
