!54mn -> 54cr, e- capture
!Q=-0.8661 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -10.325000             4.118228e-17   0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -10.808000             1.373126e-17   0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -10.940000             1.039227e-17   0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -11.053000             8.447154e-18   0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -10.489000             6.261962e-17   0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -9.202000              1.551352e-15   0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -7.985000              2.714628e-14   0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -7.173000              1.944063e-13   0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -5.996000              3.834515e-12   0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -4.419000              2.107222e-10   0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -1.993000              1.070805e-07   0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.518000               7.580719e-04   0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.393000               1.701024e+00   0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -9.346000              3.923832e-16   0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -9.809000              1.373126e-16   0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -9.940000              1.036837e-16   0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -10.053000             8.427726e-17   0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -10.076000             1.163350e-16   0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -9.180000              1.587488e-15   0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -7.983000              2.720886e-14   0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -7.173000              1.944063e-13   0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -5.996000              3.834515e-12   0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -4.419000              2.107222e-10   0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -1.993000              1.070805e-07   0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.518000               7.580719e-04   0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.393000               1.701024e+00   0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -8.475000              2.915482e-15   0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -8.815000              1.354286e-15   0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -8.942000              1.034452e-15   0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -9.054000              8.427726e-16   0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -9.129000              8.048416e-16   0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -8.974000              2.059256e-15   0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -7.969000              2.777860e-14   0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -7.170000              1.957539e-13   0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -5.995000              3.834515e-12   0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -4.419000              2.107222e-10   0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -1.993000              1.070805e-07   0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   1.518000               7.580719e-04   0.00  
3.000000      11.000000     -8.187123e-07  0.00  0.00   4.393000               1.701024e+00   0.00  
4.000000      7.000000       1.922612e-08  0.00  0.00   -7.761000              1.523037e-14   0.00  
4.000000      8.000000       8.010883e-09  0.00  0.00   -7.865000              1.209791e-14   0.00  
4.000000      8.301030      -2.082830e-08  0.00  0.00   -7.959000              9.947419e-15   0.00  
4.000000      8.602060      -1.073458e-07  0.00  0.00   -8.058000              8.350460e-15   0.00  
4.000000      8.845098      -2.787787e-07  0.00  0.00   -8.130000              7.775179e-15   0.00  
4.000000      9.000000      -4.838573e-07  0.00  0.00   -8.156000              9.030471e-15   0.00  
4.000000      9.176091      -7.434100e-07  0.00  0.00   -7.828000              3.441204e-14   0.00  
4.000000      9.301030      -7.962818e-07  0.00  0.00   -7.139000              2.068761e-13   0.00  
4.000000      9.477121      -8.123036e-07  0.00  0.00   -5.990000              3.878916e-12   0.00  
4.000000      9.698970      -8.171101e-07  0.00  0.00   -4.418000              2.112080e-10   0.00  
4.000000      10.000000     -8.187123e-07  0.00  0.00   -1.993000              1.070805e-07   0.00  
4.000000      10.477121     -8.187123e-07  0.00  0.00   1.518000               7.580719e-04   0.00  
4.000000      11.000000     -8.187123e-07  0.00  0.00   4.393000               1.701024e+00   0.00  
5.000000      7.000000       8.491536e-08  0.00  0.00   -7.033000              8.486144e-14   0.00  
5.000000      8.000000       8.331318e-08  0.00  0.00   -7.037000              8.427726e-14   0.00  
5.000000      8.301030       7.530230e-08  0.00  0.00   -7.052000              8.254873e-14   0.00  
5.000000      8.602060       4.165659e-08  0.00  0.00   -7.091000              7.919730e-14   0.00  
5.000000      8.845098      -4.165659e-08  0.00  0.00   -7.138000              7.739455e-14   0.00  
5.000000      9.000000      -1.570133e-07  0.00  0.00   -7.160000              8.312093e-14   0.00  
5.000000      9.176091      -3.941355e-07  0.00  0.00   -7.107000              1.366817e-13   0.00  
5.000000      9.301030      -6.136337e-07  0.00  0.00   -6.855000              3.562135e-13   0.00  
5.000000      9.477121      -7.626361e-07  0.00  0.00   -5.938000              4.302396e-12   0.00  
5.000000      9.698970      -8.042927e-07  0.00  0.00   -4.410000              2.146399e-10   0.00  
5.000000      10.000000     -8.155079e-07  0.00  0.00   -1.992000              1.073273e-07   0.00  
5.000000      10.477121     -8.187123e-07  0.00  0.00   1.518000               7.580719e-04   0.00  
5.000000      11.000000     -8.187123e-07  0.00  0.00   4.393000               1.701024e+00   0.00  
6.000000      7.000000       3.444680e-07  0.00  0.00   -6.122000              8.179192e-13   0.00  
6.000000      8.000000       3.428658e-07  0.00  0.00   -6.122000              8.198047e-13   0.00  
6.000000      8.301030       3.412636e-07  0.00  0.00   -6.121000              8.273902e-13   0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -6.124000              8.447154e-13   0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -6.137000              8.683812e-13   0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -6.143000              9.326322e-13   0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -6.093000              1.366817e-12   0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -5.950000              2.574604e-12   0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -5.513000              1.056113e-11   0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -4.330000              2.527612e-10   0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -1.983000              1.093227e-07   0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   1.518000               7.580719e-04   0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   4.393000               1.701024e+00   0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -4.875000              2.263135e-11   0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -4.875000              2.263135e-11   0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -4.877000              2.263135e-11   0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -4.886000              2.237229e-11   0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   -4.910000              2.166259e-11   0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   -4.928000              2.141462e-11   0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   -4.909000              2.539279e-11   0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   -4.808000              3.887858e-11   0.00  
7.000000      9.477121       8.171101e-07  0.00  0.00   -4.476000              1.136869e-10   0.00  
7.000000      9.698970       2.996070e-07  0.00  0.00   -3.756000              8.744005e-10   0.00  
7.000000      10.000000     -5.046856e-07  0.00  0.00   -1.897000              1.302298e-07   0.00  
7.000000      10.477121     -7.850666e-07  0.00  0.00   1.521000               7.633266e-04   0.00  
7.000000      11.000000     -8.155079e-07  0.00  0.00   4.393000               1.701024e+00   0.00  
8.000000      7.000000       3.101814e-06  0.00  0.00   -3.281000              1.530067e-09   0.00  
8.000000      8.000000       3.101814e-06  0.00  0.00   -3.281000              1.533594e-09   0.00  
8.000000      8.301030       3.100212e-06  0.00  0.00   -3.283000              1.523037e-09   0.00  
8.000000      8.602060       3.098610e-06  0.00  0.00   -3.292000              1.484945e-09   0.00  
8.000000      8.845098       3.093803e-06  0.00  0.00   -3.313000              1.405110e-09   0.00  
8.000000      9.000000       3.085792e-06  0.00  0.00   -3.326000              1.348064e-09   0.00  
8.000000      9.176091       3.064964e-06  0.00  0.00   -3.314000              1.398654e-09   0.00  
8.000000      9.301030       3.036125e-06  0.00  0.00   -3.252000              1.701024e-09   0.00  
8.000000      9.477121       2.954414e-06  0.00  0.00   -3.035000              3.309104e-09   0.00  
8.000000      9.698970       2.693259e-06  0.00  0.00   -2.513000              1.484945e-08   0.00  
8.000000      10.000000      1.573337e-06  0.00  0.00   -1.282000              4.905806e-07   0.00  
8.000000      10.477121     -4.838573e-07  0.00  0.00   1.552000               8.198047e-04   0.00  
8.000000      11.000000     -7.882709e-07  0.00  0.00   4.394000               1.704945e+00   0.00  
9.000000      7.000000       7.480563e-06  0.00  0.00   -0.743000              6.803155e-07   0.00  
9.000000      8.000000       7.480563e-06  0.00  0.00   -0.743000              6.803155e-07   0.00  
9.000000      8.301030       7.480563e-06  0.00  0.00   -0.743000              6.787509e-07   0.00  
9.000000      8.602060       7.480563e-06  0.00  0.00   -0.747000              6.709813e-07   0.00  
9.000000      8.845098       7.477358e-06  0.00  0.00   -0.759000              6.482020e-07   0.00  
9.000000      9.000000       7.474154e-06  0.00  0.00   -0.771000              6.261962e-07   0.00  
9.000000      9.176091       7.464541e-06  0.00  0.00   -0.782000              6.091306e-07   0.00  
9.000000      9.301030       7.450121e-06  0.00  0.00   -0.780000              6.176044e-07   0.00  
9.000000      9.477121       7.413271e-06  0.00  0.00   -0.739000              7.156660e-07   0.00  
9.000000      9.698970       7.291506e-06  0.00  0.00   -0.558000              1.287391e-06   0.00  
9.000000      10.000000      6.724335e-06  0.00  0.00   0.101000               1.063434e-05   0.00  
9.000000      10.477121      2.340780e-06  0.00  0.00   1.837000               1.583837e-03   0.00  
9.000000      11.000000     -5.191052e-07  0.00  0.00   4.402000               1.736642e+00   0.00  
10.000000     7.000000       1.699429e-05  0.00  0.00   2.047000               8.764162e-04   0.00  
10.000000     8.000000       1.699429e-05  0.00  0.00   2.047000               8.744005e-04   0.00  
10.000000     8.301030       1.699429e-05  0.00  0.00   2.046000               8.744005e-04   0.00  
