!54mn -> 54fe, beta-decay
!Q=-1.2081 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -13.414000             2.829505e-20     0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -13.415000             2.822997e-20     0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -13.427000             2.746062e-20     0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -13.478000             2.441802e-20     0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -12.145000             1.252306e-18     0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -10.112000             1.335705e-16     0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -8.214000              1.220985e-14     0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -7.014000              2.151347e-13     0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -5.610000              6.319903e-12     0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -4.246000              2.012382e-10     0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.759000              2.059256e-08     0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   -1.376000              5.089913e-05     0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   -0.770000              9.878941e-02     0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -13.414000             2.822997e-20     0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -13.415000             2.822997e-20     0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -13.427000             2.746062e-20     0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -13.478000             2.441802e-20     0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -12.145000             1.152684e-18     0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -10.112000             1.332632e-16     0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -8.214000              1.220985e-14     0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -7.014000              2.151347e-13     0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -5.610000              6.319903e-12     0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -4.246000              2.012382e-10     0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.759000              2.059256e-08     0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   -1.376000              5.089913e-05     0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   -0.770000              9.878941e-02     0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -13.416000             2.803563e-20     0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -13.415000             2.816504e-20     0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -13.427000             2.739747e-20     0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -13.479000             2.436186e-20     0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -12.145000             1.095747e-18     0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -10.112000             1.302298e-16     0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -8.214000              1.220985e-14     0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -7.014000              2.151347e-13     0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -5.610000              6.319903e-12     0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -4.246000              2.012382e-10     0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -2.759000              2.054520e-08     0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   -1.376000              5.089913e-05     0.00  
3.000000      11.000000     -8.187123e-07  0.00  0.00   -0.770000              9.878941e-02     0.00  
4.000000      7.000000       1.922612e-08  0.00  0.00   -13.424000             2.727159e-20     0.00  
4.000000      8.000000       8.010883e-09  0.00  0.00   -13.422000             2.746062e-20     0.00  
4.000000      8.301030      -2.082830e-08  0.00  0.00   -13.433000             2.689741e-20     0.00  
4.000000      8.602060      -1.073458e-07  0.00  0.00   -13.482000             2.402760e-20     0.00  
4.000000      8.845098      -2.787787e-07  0.00  0.00   -12.146000             1.088204e-18     0.00  
4.000000      9.000000      -4.838573e-07  0.00  0.00   -10.112000             1.255193e-16     0.00  
4.000000      9.176091      -7.434100e-07  0.00  0.00   -8.214000              1.209791e-14     0.00  
4.000000      9.301030      -7.962818e-07  0.00  0.00   -7.014000              2.146399e-13     0.00  
4.000000      9.477121      -8.123036e-07  0.00  0.00   -5.610000              6.319903e-12     0.00  
4.000000      9.698970      -8.171101e-07  0.00  0.00   -4.246000              2.012382e-10     0.00  
4.000000      10.000000     -8.187123e-07  0.00  0.00   -2.759000              2.054520e-08     0.00  
4.000000      10.477121     -8.187123e-07  0.00  0.00   -1.376000              5.089913e-05     0.00  
4.000000      11.000000     -8.187123e-07  0.00  0.00   -0.770000              9.878941e-02     0.00  
5.000000      7.000000       8.491536e-08  0.00  0.00   -13.464000             2.375256e-20     0.00  
5.000000      8.000000       8.331318e-08  0.00  0.00   -13.464000             2.380731e-20     0.00  
5.000000      8.301030       7.530230e-08  0.00  0.00   -13.472000             2.348067e-20     0.00  
5.000000      8.602060       4.165659e-08  0.00  0.00   -13.516000             2.151347e-20     0.00  
5.000000      8.845098      -4.165659e-08  0.00  0.00   -12.155000             1.060988e-18     0.00  
5.000000      9.000000      -1.570133e-07  0.00  0.00   -10.119000             1.226621e-16     0.00  
5.000000      9.176091      -3.941355e-07  0.00  0.00   -8.218000              1.174114e-14     0.00  
5.000000      9.301030      -6.136337e-07  0.00  0.00   -7.016000              2.112080e-13     0.00  
5.000000      9.477121      -7.626361e-07  0.00  0.00   -5.611000              6.261962e-12     0.00  
5.000000      9.698970      -8.042927e-07  0.00  0.00   -4.246000              2.003136e-10     0.00  
5.000000      10.000000     -8.155079e-07  0.00  0.00   -2.759000              2.054520e-08     0.00  
5.000000      10.477121     -8.187123e-07  0.00  0.00   -1.376000              5.089913e-05     0.00  
5.000000      11.000000     -8.187123e-07  0.00  0.00   -0.770000              9.878941e-02     0.00  
6.000000      7.000000       3.444680e-07  0.00  0.00   -13.698000             1.088204e-20     0.00  
6.000000      8.000000       3.428658e-07  0.00  0.00   -13.697000             1.090713e-20     0.00  
6.000000      8.301030       3.412636e-07  0.00  0.00   -13.706000             1.078227e-20     0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -13.744000             1.017912e-20     0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -12.213000             8.947679e-19     0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -10.167000             1.065885e-16     0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -8.246000              1.073273e-14     0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -7.034000              1.966574e-13     0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -5.619000              5.911673e-12     0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -4.249000              1.917390e-10     0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -2.760000              2.021671e-08     0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   -1.376000              5.089913e-05     0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   -0.770000              9.878941e-02     0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -28.132000             3.052885e-37     0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -18.589000             1.060988e-26     0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -17.356000             3.628360e-25     0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -16.330000             9.856220e-24     0.00  
