!55co -> 55fe, e- capture
!Q=-2.9403 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -8.471000              -1.103229e+01         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -8.964000              -1.103229e+01         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -9.106000              -1.103229e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -9.235000              -1.103229e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -8.679000              -1.103229e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -7.399000              -1.102629e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -6.240000              -1.094929e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -5.556000              -1.070929e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -4.648000              -9.893290e+00         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -3.243000              -8.401290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -1.052000              -6.117290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.851000               -2.843290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.619000               4.487104e-01          -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -7.492000              -1.102829e+01         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -7.965000              -1.103129e+01         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -8.106000              -1.103129e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -8.235000              -1.103229e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -8.266000              -1.103229e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -7.377000              -1.102629e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -6.239000              -1.094929e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -5.556000              -1.070929e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -4.648000              -9.893290e+00         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -3.243000              -8.401290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -1.052000              -6.117290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.851000               -2.843290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.619000               4.487104e-01          -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -6.622000              -1.099829e+01         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -6.971000              -1.101729e+01         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -7.108000              -1.102129e+01         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -7.235000              -1.102429e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -7.319000              -1.102529e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -7.172000              -1.102229e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -6.224000              -1.094629e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -5.553000              -1.070729e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -4.647000              -9.893290e+00         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -3.243000              -8.401290e+00         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -1.052000              -6.117290e+00         -100.00
