!55cr -> 55v, e- capture
!Q=6.471 MeV
!
!rhoY         temp          mu             dQ    Vs     e-cap-rate        nu-energy-loss gamma-energy
!g/cm^3       K             1/s            erg   erg    1/s               erg/s          erg/s
1.000000e+01  1.000000e+07  -4.806530e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+01  1.000000e+08  -9.292624e-08  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+01  2.000000e+08  -2.146917e-07  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+01  4.000000e+08  -4.902661e-07  0.00  0.00   7.925013e-85      1.341870e-91   0.00  
1.000000e+01  7.000000e+08  -8.058948e-07  0.00  0.00   1.303167e-51      3.923832e-58   0.00  
1.000000e+01  1.000000e+09  -8.187123e-07  0.00  0.00   3.507519e-37      1.533594e-43   0.00  
1.000000e+01  1.500000e+09  -8.187123e-07  0.00  0.00   9.462372e-26      6.378380e-32   0.00  
1.000000e+01  2.000000e+09  -8.187123e-07  0.00  0.00   6.266139e-20      5.790424e-26   0.00  
1.000000e+01  3.000000e+09  -8.187123e-07  0.00  0.00   5.754399e-14      8.427726e-20   0.00  
1.000000e+01  5.000000e+09  -8.187123e-07  0.00  0.00   6.208690e-09      1.681552e-14   0.00  
1.000000e+01  1.000000e+10  -8.187123e-07  0.00  0.00   1.629296e-04      1.032073e-09   0.00  
1.000000e+01  3.000000e+10  -8.187123e-07  0.00  0.00   5.915616e+00      1.240825e-04   0.00  
1.000000e+01  1.000000e+11  -8.187123e-07  0.00  0.00   1.124605e+04      7.703896e-01   0.00  
1.000000e+02  1.000000e+07  -1.602177e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+02  1.000000e+08  -6.088271e-08  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+02  2.000000e+08  -1.522068e-07  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+02  4.000000e+08  -3.636941e-07  0.00  0.00   7.925013e-84      1.341870e-90   0.00  
1.000000e+02  7.000000e+08  -7.145708e-07  0.00  0.00   3.372873e-51      1.017912e-57   0.00  
1.000000e+02  1.000000e+09  -8.107014e-07  0.00  0.00   3.689776e-37      1.613282e-43   0.00  
1.000000e+02  1.500000e+09  -8.187123e-07  0.00  0.00   9.506048e-26      6.393084e-32   0.00  
1.000000e+02  2.000000e+09  -8.187123e-07  0.00  0.00   6.266139e-20      5.790424e-26   0.00  
1.000000e+02  3.000000e+09  -8.187123e-07  0.00  0.00   5.754399e-14      8.427726e-20   0.00  
1.000000e+02  5.000000e+09  -8.187123e-07  0.00  0.00   6.208690e-09      1.681552e-14   0.00  
1.000000e+02  1.000000e+10  -8.187123e-07  0.00  0.00   1.629296e-04      1.032073e-09   0.00  
1.000000e+02  3.000000e+10  -8.187123e-07  0.00  0.00   5.915616e+00      1.240825e-04   0.00  
1.000000e+02  1.000000e+11  -8.187123e-07  0.00  0.00   1.124605e+04      7.703896e-01   0.00  
1.000000e+03  1.000000e+07   3.204353e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+03  1.000000e+08  -2.883918e-08  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+03  2.000000e+08  -8.811971e-08  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+03  4.000000e+08  -2.355200e-07  0.00  0.00   7.961594e-83      1.348064e-89   0.00  
1.000000e+03  7.000000e+08  -5.030835e-07  0.00  0.00   2.999163e-50      9.030471e-57   0.00  
1.000000e+03  1.000000e+09  -7.450121e-07  0.00  0.00   5.929253e-37      2.592450e-43   0.00  
1.000000e+03  1.500000e+09  -8.107014e-07  0.00  0.00   9.817479e-26      6.617751e-32   0.00  
1.000000e+03  2.000000e+09  -8.171101e-07  0.00  0.00   6.309573e-20      5.830562e-26   0.00  
1.000000e+03  3.000000e+09  -8.187123e-07  0.00  0.00   5.754399e-14      8.447154e-20   0.00  
1.000000e+03  5.000000e+09  -8.187123e-07  0.00  0.00   6.208690e-09      1.685429e-14   0.00  
1.000000e+03  1.000000e+10  -8.187123e-07  0.00  0.00   1.629296e-04      1.032073e-09   0.00  
1.000000e+03  3.000000e+10  -8.187123e-07  0.00  0.00   5.915616e+00      1.240825e-04   0.00  
1.000000e+03  1.000000e+11  -8.187123e-07  0.00  0.00   1.124605e+04      7.703896e-01   0.00  
