!56cr -> 56mn, beta-decay
!Q=-2.128 MeV
!
!rhoY         temp           mu            dQ    VS     beta-decay-rate   nu-energy-loss   gamma-energy
!g/cm^3       K              1/s           erg   erg    1/s               erg/s            erg/s
1.000000e+01  1.000000e+07  -4.806530e-09  0.00  0.00   1.853532e-03      2.689741e-09     0.00  
1.000000e+01  1.000000e+08  -9.292624e-08  0.00  0.00   1.853532e-03      2.689741e-09     0.00  
1.000000e+01  2.000000e+08  -2.146917e-07  0.00  0.00   1.853532e-03      2.689741e-09     0.00  
1.000000e+01  4.000000e+08  -4.902661e-07  0.00  0.00   1.853532e-03      2.689741e-09     0.00  
1.000000e+01  7.000000e+08  -8.058948e-07  0.00  0.00   1.853532e-03      2.689741e-09     0.00  
1.000000e+01  1.000000e+09  -8.187123e-07  0.00  0.00   1.853532e-03      2.689741e-09     0.00  
1.000000e+01  1.500000e+09  -8.187123e-07  0.00  0.00   1.853532e-03      2.702156e-09     0.00  
1.000000e+01  2.000000e+09  -8.187123e-07  0.00  0.00   1.853532e-03      2.784264e-09     0.00  
1.000000e+01  3.000000e+09  -8.187123e-07  0.00  0.00   1.972423e-03      3.834515e-09     0.00  
1.000000e+01  5.000000e+09  -8.187123e-07  0.00  0.00   5.902011e-03      2.746062e-08     0.00  
1.000000e+01  1.000000e+10  -8.187123e-07  0.00  0.00   1.409289e-01      1.090713e-06     0.00  
1.000000e+01  3.000000e+10  -8.187123e-07  0.00  0.00   1.253141e+00      2.268352e-04     0.00  
1.000000e+01  1.000000e+11  -8.187123e-07  0.00  0.00   2.113489e+00      2.206533e-01     0.00  
1.000000e+02  1.000000e+07  -1.602177e-09  0.00  0.00   1.853532e-03      2.689741e-09     0.00  
1.000000e+02  1.000000e+08  -6.088271e-08  0.00  0.00   1.853532e-03      2.689741e-09     0.00  
1.000000e+02  2.000000e+08  -1.522068e-07  0.00  0.00   1.853532e-03      2.689741e-09     0.00  
