!56cr -> 56v, e- capture
!Q=9.561 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -72.162000             2.049795e-79   0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -51.044000             3.896820e-58   0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -34.362000             2.868867e-41   0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -25.867000             1.218177e-32   0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -17.181000             9.283471e-24   0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -10.034000             2.358905e-16   0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -4.406000              2.305209e-10   0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.591000               8.048416e-05   0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   3.987000               6.663623e-01   0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -71.749000             5.305305e-79   0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -51.022000             4.089878e-58   0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -34.360000             2.875480e-41   0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -25.867000             1.220985e-32   0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -17.181000             9.283471e-24   0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -10.034000             2.358905e-16   0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -4.406000              2.305209e-10   0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.591000               8.048416e-05   0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   3.987000               6.663623e-01   0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -70.801000             4.706634e-78   0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -50.816000             6.572194e-58   0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -34.346000             2.976531e-41   0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -25.864000             1.229449e-32   0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -17.180000             9.304872e-24   0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -10.034000             2.358905e-16   0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -4.406000              2.305209e-10   0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   0.591000               8.048416e-05   0.00  
