!56fe -> 56co, beta-decay
!Q=4.055 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.999000             1.605870e-106    0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -66.195000             2.610420e-70     0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -40.317000             1.843785e-44     0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -29.773000             1.179534e-34     0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -21.201000             1.179534e-26     0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -16.597000             2.397234e-22     0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -11.487000             1.628210e-17     0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -6.920000              6.091306e-13     0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -3.437000              6.305367e-09     0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   -1.450000              4.695809e-05     0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   -0.583000              7.811068e-02     0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.999000             1.605870e-106    0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -66.195000             2.622469e-71     0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -40.317000             7.140200e-45     0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -29.773000             1.123855e-34     0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -21.201000             1.176821e-26     0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -16.597000             2.397234e-22     0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -11.487000             1.628210e-17     0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -6.920000              6.091306e-13     0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -3.437000              6.305367e-09     0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   -1.450000              4.695809e-05     0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   -0.583000              7.811068e-02     0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -66.197000             2.752393e-72     0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -40.318000             8.160380e-46     0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -29.773000             7.009877e-35     0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -21.201000             1.139490e-26     0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -16.597000             2.380731e-22     0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -11.487000             1.624465e-17     0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -6.920000              6.077296e-13     0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -3.437000              6.305367e-09     0.00  
