!56mn -> 56cr, e- capture
!Q=2.128 MeV
!
!rhoY         temp          mu             dQ    Vs     e-cap-rate        nu-energy-loss gamma-energy
!g/cm^3       K             1/s            erg   erg    1/s               erg/s          erg/s
1.000000e+01  1.000000e+07  -4.806530e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+01  1.000000e+08  -9.292624e-08  0.00  0.00   6.982324e-94      2.922203e-101  0.00  
1.000000e+01  2.000000e+08  -2.146917e-07  0.00  0.00   9.862795e-53      8.350460e-60   0.00  
1.000000e+01  4.000000e+08  -4.902661e-07  0.00  0.00   5.649370e-32      9.765858e-39   0.00  
1.000000e+01  7.000000e+08  -8.058948e-07  0.00  0.00   2.636331e-22      8.235887e-29   0.00  
1.000000e+01  1.000000e+09  -8.187123e-07  0.00  0.00   2.517677e-17      1.152684e-23   0.00  
1.000000e+01  1.500000e+09  -8.187123e-07  0.00  0.00   2.877398e-13      2.054520e-19   0.00  
1.000000e+01  2.000000e+09  -8.187123e-07  0.00  0.00   3.935501e-11      3.896820e-17   0.00  
1.000000e+01  3.000000e+09  -8.187123e-07  0.00  0.00   8.375293e-09      1.323459e-14   0.00  
1.000000e+01  5.000000e+09  -8.187123e-07  0.00  0.00   1.644372e-06      4.772109e-12   0.00  
1.000000e+01  1.000000e+10  -8.187123e-07  0.00  0.00   1.185769e-03      7.615710e-09   0.00  
1.000000e+01  3.000000e+10  -8.187123e-07  0.00  0.00   1.037528e+01      2.083101e-04   0.00  
1.000000e+01  1.000000e+11  -8.187123e-07  0.00  0.00   1.361445e+04      9.198360e-01   0.00  
1.000000e+02  1.000000e+07  -1.602177e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+02  1.000000e+08  -6.088271e-08  0.00  0.00   7.014553e-93      2.935691e-100  0.00  
1.000000e+02  2.000000e+08  -1.522068e-07  0.00  0.00   9.885531e-52      8.350460e-59   0.00  
1.000000e+02  4.000000e+08  -3.636941e-07  0.00  0.00   5.649370e-31      9.788370e-38   0.00  
1.000000e+02  7.000000e+08  -7.145708e-07  0.00  0.00   6.823387e-22      2.131623e-28   0.00  
1.000000e+02  1.000000e+09  -8.107014e-07  0.00  0.00   2.642409e-17      1.209791e-23   0.00  
1.000000e+02  1.500000e+09  -8.187123e-07  0.00  0.00   2.884032e-13      2.064003e-19   0.00  
1.000000e+02  2.000000e+09  -8.187123e-07  0.00  0.00   3.944573e-11      3.896820e-17   0.00  
1.000000e+02  3.000000e+09  -8.187123e-07  0.00  0.00   8.375293e-09      1.323459e-14   0.00  
1.000000e+02  5.000000e+09  -8.187123e-07  0.00  0.00   1.644372e-06      4.772109e-12   0.00  
1.000000e+02  1.000000e+10  -8.187123e-07  0.00  0.00   1.185769e-03      7.615710e-09   0.00  
1.000000e+02  3.000000e+10  -8.187123e-07  0.00  0.00   1.037528e+01      2.083101e-04   0.00  
1.000000e+02  1.000000e+11  -8.187123e-07  0.00  0.00   1.361445e+04      9.198360e-01   0.00  
1.000000e+03  1.000000e+07   3.204353e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+03  1.000000e+08  -2.883918e-08  0.00  0.00   7.277798e-92      3.045863e-99   0.00  
1.000000e+03  2.000000e+08  -8.811971e-08  0.00  0.00   1.000000e-50      8.466626e-58   0.00  
1.000000e+03  4.000000e+08  -2.355200e-07  0.00  0.00   5.675446e-30      9.810935e-37   0.00  
1.000000e+03  7.000000e+08  -5.030835e-07  0.00  0.00   6.067363e-21      1.891082e-27   0.00  
1.000000e+03  1.000000e+09  -7.450121e-07  0.00  0.00   4.246196e-17      1.944063e-23   0.00  
1.000000e+03  1.500000e+09  -8.107014e-07  0.00  0.00   2.985383e-13      2.131623e-19   0.00  
1.000000e+03  2.000000e+09  -8.171101e-07  0.00  0.00   3.971915e-11      3.932877e-17   0.00  
1.000000e+03  3.000000e+09  -8.187123e-07  0.00  0.00   8.375293e-09      1.326510e-14   0.00  
1.000000e+03  5.000000e+09  -8.187123e-07  0.00  0.00   1.644372e-06      4.772109e-12   0.00  
1.000000e+03  1.000000e+10  -8.187123e-07  0.00  0.00   1.185769e-03      7.615710e-09   0.00  
1.000000e+03  3.000000e+10  -8.187123e-07  0.00  0.00   1.037528e+01      2.083101e-04   0.00  
1.000000e+03  1.000000e+11  -8.187123e-07  0.00  0.00   1.361445e+04      9.198360e-01   0.00  
1.000000e+04  1.000000e+07   1.922612e-08  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+04  1.000000e+08   8.010883e-09  0.00  0.00   1.051962e-90      4.402612e-98   0.00  
1.000000e+04  2.000000e+08  -2.082830e-08  0.00  0.00   1.135011e-49      9.587611e-57   0.00  
1.000000e+04  4.000000e+08  -1.073458e-07  0.00  0.00   5.915616e-29      1.022611e-35   0.00  
1.000000e+04  7.000000e+08  -2.787787e-07  0.00  0.00   6.151769e-20      1.921810e-26   0.00  
1.000000e+04  1.000000e+09  -4.838573e-07  0.00  0.00   2.818383e-16      1.290359e-22   0.00  
1.000000e+04  1.500000e+09  -7.434100e-07  0.00  0.00   4.130475e-13      2.956041e-19   0.00  
1.000000e+04  2.000000e+09  -7.962818e-07  0.00  0.00   4.265795e-11      4.223869e-17   0.00  
1.000000e+04  3.000000e+09  -8.123036e-07  0.00  0.00   8.472274e-09      1.341870e-14   0.00  
1.000000e+04  5.000000e+09  -8.171101e-07  0.00  0.00   1.648162e-06      4.783110e-12   0.00  
1.000000e+04  1.000000e+10  -8.187123e-07  0.00  0.00   1.185769e-03      7.615710e-09   0.00  
1.000000e+04  3.000000e+10  -8.187123e-07  0.00  0.00   1.037528e+01      2.083101e-04   0.00  
1.000000e+04  1.000000e+11  -8.187123e-07  0.00  0.00   1.361445e+04      9.198360e-01   0.00  
1.000000e+05  1.000000e+07   8.491536e-08  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+05  1.000000e+08   8.331318e-08  0.00  0.00   2.349633e-88      9.833551e-96   0.00  
1.000000e+05  2.000000e+08   7.530230e-08  0.00  0.00   3.614099e-48      3.052885e-55   0.00  
1.000000e+05  4.000000e+08   4.165659e-08  0.00  0.00   8.749838e-28      1.512552e-34   0.00  
1.000000e+05  7.000000e+08  -4.165659e-08  0.00  0.00   7.144963e-19      2.232083e-25   0.00  
1.000000e+05  1.000000e+09  -1.570133e-07  0.00  0.00   3.026913e-15      1.385831e-21   0.00  
1.000000e+05  1.500000e+09  -3.941355e-07  0.00  0.00   2.233572e-12      1.598492e-18   0.00  
1.000000e+05  2.000000e+09  -6.136337e-07  0.00  0.00   8.298508e-11      8.198047e-17   0.00  
1.000000e+05  3.000000e+09  -7.626361e-07  0.00  0.00   9.594006e-09      1.516039e-14   0.00  
1.000000e+05  5.000000e+09  -8.042927e-07  0.00  0.00   1.678804e-06      4.883266e-12   0.00  
1.000000e+05  1.000000e+10  -8.155079e-07  0.00  0.00   1.188502e-03      7.633266e-09   0.00  
1.000000e+05  3.000000e+10  -8.187123e-07  0.00  0.00   1.037528e+01      2.087903e-04   0.00  
1.000000e+05  1.000000e+11  -8.187123e-07  0.00  0.00   1.361445e+04      9.198360e-01   0.00  
1.000000e+06  1.000000e+07   3.444680e-07  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+06  1.000000e+08   3.428658e-07  0.00  0.00   3.672823e-80      1.537129e-87   0.00  
1.000000e+06  2.000000e+08   3.412636e-07  0.00  0.00   5.495409e-44      4.652757e-51   0.00  
1.000000e+06  4.000000e+08   3.316506e-07  0.00  0.00   1.640590e-25      2.829505e-32   0.00  
1.000000e+06  7.000000e+08   3.028114e-07  0.00  0.00   2.511886e-17      7.829074e-24   0.00  
1.000000e+06  1.000000e+09   2.579504e-07  0.00  0.00   6.025596e-14      2.758738e-20   0.00  
1.000000e+06  1.500000e+09   1.490024e-07  0.00  0.00   3.040885e-11      2.181275e-17   0.00  
1.000000e+06  2.000000e+09   1.602177e-09  0.00  0.00   7.638358e-10      7.563284e-16   0.00  
1.000000e+06  3.000000e+09  -3.396614e-07  0.00  0.00   2.648500e-08      4.185144e-14   0.00  
1.000000e+06  5.000000e+09  -6.729142e-07  0.00  0.00   2.027683e-06      5.898076e-12   0.00  
1.000000e+06  1.000000e+10  -7.866687e-07  0.00  0.00   1.213389e-03      7.793103e-09   0.00  
1.000000e+06  3.000000e+10  -8.155079e-07  0.00  0.00   1.037528e+01      2.087903e-04   0.00  
1.000000e+06  1.000000e+11  -8.187123e-07  0.00  0.00   1.361445e+04      9.198360e-01   0.00  
1.000000e+07  1.000000e+07   1.140750e-06  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+07  1.000000e+08   1.139148e-06  0.00  0.00   3.243396e-55      1.366817e-62   0.00  
1.000000e+07  2.000000e+08   1.139148e-06  0.00  0.00   1.610646e-31      1.398654e-38   0.00  
1.000000e+07  4.000000e+08   1.134341e-06  0.00  0.00   2.999163e-19      5.256666e-26   0.00  
1.000000e+07  7.000000e+08   1.123126e-06  0.00  0.00   1.091440e-13      3.441204e-20   0.00  
1.000000e+07  1.000000e+09   1.103900e-06  0.00  0.00   2.523481e-11      1.171414e-17   0.00  
1.000000e+07  1.500000e+09   1.060641e-06  0.00  0.00   2.296149e-09      1.666136e-15   0.00  
1.000000e+07  2.000000e+09   9.965539e-07  0.00  0.00   2.642409e-08      2.646735e-14   0.00  
1.000000e+07  3.000000e+09   8.171101e-07  0.00  0.00   4.159106e-07      6.633006e-13   0.00  
1.000000e+07  5.000000e+09   2.996070e-07  0.00  0.00   8.147043e-06      2.364343e-11   0.00  
1.000000e+07  1.000000e+10  -5.046856e-07  0.00  0.00   1.485936e-03      9.499711e-09   0.00  
1.000000e+07  3.000000e+10  -7.850666e-07  0.00  0.00   1.044720e+01      2.102376e-04   0.00  
1.000000e+07  1.000000e+11  -8.155079e-07  0.00  0.00   1.361445e+04      9.198360e-01   0.00  
1.000000e+08  1.000000e+07   3.101814e-06  0.00  0.00   8.035261e-61      4.214154e-67   0.00  
1.000000e+08  1.000000e+08   3.101814e-06  0.00  0.00   1.035142e-10      5.453940e-17   0.00  
1.000000e+08  2.000000e+08   3.100212e-06  0.00  0.00   5.714786e-08      3.052885e-14   0.00  
1.000000e+08  4.000000e+08   3.098610e-06  0.00  0.00   1.264736e-06      7.074739e-13   0.00  
1.000000e+08  7.000000e+08   3.093803e-06  0.00  0.00   4.797334e-06      3.004072e-12   0.00  
1.000000e+08  1.000000e+09   3.085792e-06  0.00  0.00   8.413951e-06      6.035460e-12   0.00  
1.000000e+08  1.500000e+09   3.064964e-06  0.00  0.00   1.419058e-05      1.305300e-11   0.00  
1.000000e+08  2.000000e+09   3.036125e-06  0.00  0.00   2.128139e-05      2.498679e-11   0.00  
1.000000e+08  3.000000e+09   2.954414e-06  0.00  0.00   4.655861e-05      8.235887e-11   0.00  
1.000000e+08  5.000000e+09   2.693259e-06  0.00  0.00   2.128139e-04      6.452238e-10   0.00  
1.000000e+08  1.000000e+10   1.573337e-06  0.00  0.00   6.441693e-03      4.071087e-08   0.00  
1.000000e+08  3.000000e+10  -4.838573e-07  0.00  0.00   1.122018e+01      2.257930e-04   0.00  
1.000000e+08  1.000000e+11  -7.882709e-07  0.00  0.00   1.364583e+04      9.219564e-01   0.00  
1.000000e+09  1.000000e+07   7.480563e-06  0.00  0.00   3.572728e-03      5.317535e-09   0.00  
1.000000e+09  1.000000e+08   7.480563e-06  0.00  0.00   3.715352e-03      5.803773e-09   0.00  
1.000000e+09  2.000000e+08   7.480563e-06  0.00  0.00   4.255984e-03      7.686177e-09   0.00  
1.000000e+09  4.000000e+08   7.480563e-06  0.00  0.00   6.412096e-03      1.609572e-08   0.00  
1.000000e+09  7.000000e+08   7.477358e-06  0.00  0.00   1.076465e-02      3.355138e-08   0.00  
1.000000e+09  1.000000e+09   7.474154e-06  0.00  0.00   1.374042e-02      4.588919e-08   0.00  
1.000000e+09  1.500000e+09   7.464541e-06  0.00  0.00   1.603245e-02      5.542560e-08   0.00  
1.000000e+09  2.000000e+09   7.450121e-06  0.00  0.00   1.702159e-02      5.966373e-08   0.00  
1.000000e+09  3.000000e+09   7.413271e-06  0.00  0.00   1.914256e-02      6.913698e-08   0.00  
