!56v -> 56ti, e- capture
!Q=7.611 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -98.673000             3.562135e-106  0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -59.402000             1.176821e-66   0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -42.578000             1.131645e-49   0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -29.321000             3.116810e-36   0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -22.615000             2.151347e-29   0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -15.775000             2.299908e-22   0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -9.968000              2.604416e-16   0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -4.842000              7.703896e-11   0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.199000               3.066976e-05   0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   3.700000               3.417515e-01   0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -97.673000             3.562135e-105  0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -58.989000             3.045863e-66   0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -42.557000             1.187710e-49   0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -29.320000             3.131197e-36   0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -22.614000             2.151347e-29   0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -15.775000             2.299908e-22   0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -9.968000              2.604416e-16   0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -4.842000              7.703896e-11   0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.199000               3.066976e-05   0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   3.700000               3.417515e-01   0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -96.672000             3.578577e-104  0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -58.041000             2.702156e-65   0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -42.351000             1.908580e-49   0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -29.305000             3.233779e-36   0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -22.611000             2.166259e-29   0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -15.775000             2.299908e-22   0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -9.968000              2.604416e-16   0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -4.842000              7.703896e-11   0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   0.199000               3.066976e-05   0.00  
