!57co -> 57ni, beta-decay
!Q=2.7532 MeV
!
!rhoY         temp           mu            dQ    VS     beta-decay-rate   nu-energy-loss   gamma-energy
!g/cm^3       K              1/s           erg   erg    1/s               erg/s            erg/s
1.000000e+01  1.000000e+07  -4.806530e-09  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+01  1.000000e+08  -9.292624e-08  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+01  2.000000e+08  -2.146917e-07  0.00  0.00   1.678804e-97      4.997012e-96     0.00  
1.000000e+01  4.000000e+08  -4.902661e-07  0.00  0.00   2.636331e-52      3.653511e-53     0.00  
1.000000e+01  7.000000e+08  -8.058948e-07  0.00  0.00   7.998343e-33      9.970350e-35     0.00  
1.000000e+01  1.000000e+09  -8.187123e-07  0.00  0.00   7.063176e-25      4.905806e-28     0.00  
1.000000e+01  1.500000e+09  -8.187123e-07  0.00  0.00   3.040885e-18      1.421381e-22     0.00  
1.000000e+01  2.000000e+09  -8.187123e-07  0.00  0.00   1.336596e-14      1.427941e-19     0.00  
1.000000e+01  3.000000e+09  -8.187123e-07  0.00  0.00   1.244515e-10      5.031650e-16     0.00  
1.000000e+01  5.000000e+09  -8.187123e-07  0.00  0.00   3.515604e-07      1.801816e-12     0.00  
1.000000e+01  1.000000e+10  -8.187123e-07  0.00  0.00   2.084491e-04      6.725280e-09     0.00  
1.000000e+01  3.000000e+10  -8.187123e-07  0.00  0.00   1.828100e-02      4.951199e-05     0.00  
1.000000e+01  1.000000e+11  -8.187123e-07  0.00  0.00   2.055891e-01      9.434315e-02     0.00  
1.000000e+02  1.000000e+07  -1.602177e-09  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+02  1.000000e+08  -6.088271e-08  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+02  2.000000e+08  -1.522068e-07  0.00  0.00   1.678804e-97      4.997012e-97     0.00  
1.000000e+02  4.000000e+08  -3.636941e-07  0.00  0.00   2.636331e-52      3.653511e-54     0.00  
1.000000e+02  7.000000e+08  -7.145708e-07  0.00  0.00   7.998343e-33      3.852214e-35     0.00  
1.000000e+02  1.000000e+09  -8.107014e-07  0.00  0.00   7.063176e-25      4.674233e-28     0.00  
1.000000e+02  1.500000e+09  -8.187123e-07  0.00  0.00   3.040885e-18      1.418112e-22     0.00  
1.000000e+02  2.000000e+09  -8.187123e-07  0.00  0.00   1.336596e-14      1.427941e-19     0.00  
1.000000e+02  3.000000e+09  -8.187123e-07  0.00  0.00   1.244515e-10      5.031650e-16     0.00  
1.000000e+02  5.000000e+09  -8.187123e-07  0.00  0.00   3.515604e-07      1.801816e-12     0.00  
1.000000e+02  1.000000e+10  -8.187123e-07  0.00  0.00   2.084491e-04      6.725280e-09     0.00  
1.000000e+02  3.000000e+10  -8.187123e-07  0.00  0.00   1.828100e-02      4.951199e-05     0.00  
1.000000e+02  1.000000e+11  -8.187123e-07  0.00  0.00   2.055891e-01      9.434315e-02     0.00  
1.000000e+03  1.000000e+07   3.204353e-09  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+03  1.000000e+08  -2.883918e-08  0.00  0.00   1.002305e-100     1.605870e-106    0.00  
1.000000e+03  2.000000e+08  -8.811971e-08  0.00  0.00   1.674943e-97      4.928450e-98     0.00  
1.000000e+03  4.000000e+08  -2.355200e-07  0.00  0.00   2.630268e-52      3.636724e-55     0.00  
1.000000e+03  7.000000e+08  -5.030835e-07  0.00  0.00   7.979947e-33      4.342206e-36     0.00  
1.000000e+03  1.000000e+09  -7.450121e-07  0.00  0.00   7.063176e-25      2.908777e-28     0.00  
1.000000e+03  1.500000e+09  -8.107014e-07  0.00  0.00   3.040885e-18      1.373126e-22     0.00  
1.000000e+03  2.000000e+09  -8.171101e-07  0.00  0.00   1.333521e-14      1.418112e-19     0.00  
1.000000e+03  3.000000e+09  -8.187123e-07  0.00  0.00   1.244515e-10      5.031650e-16     0.00  
1.000000e+03  5.000000e+09  -8.187123e-07  0.00  0.00   3.515604e-07      1.801816e-12     0.00  
1.000000e+03  1.000000e+10  -8.187123e-07  0.00  0.00   2.084491e-04      6.725280e-09     0.00  
1.000000e+03  3.000000e+10  -8.187123e-07  0.00  0.00   1.828100e-02      4.951199e-05     0.00  
1.000000e+03  1.000000e+11  -8.187123e-07  0.00  0.00   2.055891e-01      9.434315e-02     0.00  
