!58fe -> 58mn, e- capture
!Q=6.758 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -87.448000             -9.422129e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -52.635000             -5.915829e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -37.548000             -4.390929e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -25.576000             -3.174929e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -19.462000             -2.549929e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -13.186000             -1.902529e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -7.916000              -1.348829e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -3.410000              -8.620290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.974000               -3.720290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.163000               -6.289606e-03         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -86.448000             -9.322129e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -52.222000             -5.874529e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -37.526000             -4.388729e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -25.574000             -3.174829e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -19.461000             -2.549829e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -13.186000             -1.902429e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -7.916000              -1.348829e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -3.410000              -8.620290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.974000               -3.720290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.163000               -6.289606e-03         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
