!58v -> 58cr, beta-decay
!Q=-12.061 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   0.722000               3.687316e-05     0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   0.722000               3.687316e-05     0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   0.722000               3.687316e-05     0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   0.721000               3.678836e-05     0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   0.718000               3.653511e-05     0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   0.710000               3.603383e-05     0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   0.693000               3.481051e-05     0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   0.676000               3.378395e-05     0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   0.648000               3.233779e-05     0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   0.615000               3.160170e-05     0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   0.586000               3.425393e-05     0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.484000               4.685009e-04     0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   0.270000               4.474148e-01     0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   0.722000               3.687316e-05     0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   0.722000               3.687316e-05     0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   0.722000               3.687316e-05     0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   0.721000               3.678836e-05     0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   0.718000               3.653511e-05     0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   0.710000               3.603383e-05     0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   0.693000               3.481051e-05     0.00  
