!59co -> 59fe, e- capture
!Q=2.0762 MeV
!
!rhoY         temp          mu             dQ    Vs     e-cap-rate        nu-energy-loss gamma-energy
!g/cm^3       K             1/s            erg   erg    1/s               erg/s          erg/s
1.000000e+01  1.000000e+07  -4.806530e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+01  1.000000e+08  -9.292624e-08  0.00  0.00   4.139997e-93      1.756752e-100  0.00  
1.000000e+01  2.000000e+08  -2.146917e-07  0.00  0.00   3.365116e-53      2.915482e-60   0.00  
1.000000e+01  4.000000e+08  -4.902661e-07  0.00  0.00   5.395106e-33      9.698630e-40   0.00  
1.000000e+01  7.000000e+08  -8.058948e-07  0.00  0.00   1.725838e-23      5.697842e-30   0.00  
1.000000e+01  1.000000e+09  -8.187123e-07  0.00  0.00   1.713957e-18      8.389004e-25   0.00  
1.000000e+01  1.500000e+09  -8.187123e-07  0.00  0.00   2.904023e-14      2.268352e-20   0.00  
1.000000e+01  2.000000e+09  -8.187123e-07  0.00  0.00   6.776415e-12      7.528534e-18   0.00  
1.000000e+01  3.000000e+09  -8.187123e-07  0.00  0.00   3.775722e-09      7.058467e-15   0.00  
1.000000e+01  5.000000e+09  -8.187123e-07  0.00  0.00   2.254239e-06      8.216945e-12   0.00  
1.000000e+01  1.000000e+10  -8.187123e-07  0.00  0.00   3.288516e-03      2.386220e-08   0.00  
1.000000e+01  3.000000e+10  -8.187123e-07  0.00  0.00   2.079697e+01      4.137237e-04   0.00  
1.000000e+01  1.000000e+11  -8.187123e-07  0.00  0.00   2.285599e+04      1.523037e+00   0.00  
1.000000e+02  1.000000e+07  -1.602177e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+02  1.000000e+08  -6.088271e-08  0.00  0.00   4.159106e-92      1.764861e-99   0.00  
1.000000e+02  2.000000e+08  -1.522068e-07  0.00  0.00   3.372873e-52      2.922203e-59   0.00  
1.000000e+02  4.000000e+08  -3.636941e-07  0.00  0.00   5.395106e-32      9.720988e-39   0.00  
1.000000e+02  7.000000e+08  -7.145708e-07  0.00  0.00   4.466836e-23      1.478122e-29   0.00  
1.000000e+02  1.000000e+09  -8.107014e-07  0.00  0.00   1.798871e-18      8.824912e-25   0.00  
1.000000e+02  1.500000e+09  -8.187123e-07  0.00  0.00   2.917427e-14      2.278822e-20   0.00  
1.000000e+02  2.000000e+09  -8.187123e-07  0.00  0.00   6.776415e-12      7.545889e-18   0.00  
1.000000e+02  3.000000e+09  -8.187123e-07  0.00  0.00   3.775722e-09      7.058467e-15   0.00  
1.000000e+02  5.000000e+09  -8.187123e-07  0.00  0.00   2.254239e-06      8.216945e-12   0.00  
1.000000e+02  1.000000e+10  -8.187123e-07  0.00  0.00   3.288516e-03      2.386220e-08   0.00  
1.000000e+02  3.000000e+10  -8.187123e-07  0.00  0.00   2.079697e+01      4.137237e-04   0.00  
1.000000e+02  1.000000e+11  -8.187123e-07  0.00  0.00   2.285599e+04      1.523037e+00   0.00  
1.000000e+03  1.000000e+07   3.204353e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+03  1.000000e+08  -2.883918e-08  0.00  0.00   4.315191e-91      1.831093e-98   0.00  
1.000000e+03  2.000000e+08  -8.811971e-08  0.00  0.00   3.411929e-51      2.956041e-58   0.00  
1.000000e+03  4.000000e+08  -2.355200e-07  0.00  0.00   5.420009e-31      9.743397e-38   0.00  
1.000000e+03  7.000000e+08  -5.030835e-07  0.00  0.00   3.971915e-22      1.311325e-28   0.00  
1.000000e+03  1.000000e+09  -7.450121e-07  0.00  0.00   2.890680e-18      1.418112e-24   0.00  
1.000000e+03  1.500000e+09  -8.107014e-07  0.00  0.00   3.013006e-14      2.353479e-20   0.00  
1.000000e+03  2.000000e+09  -8.171101e-07  0.00  0.00   6.823387e-12      7.598194e-18   0.00  
1.000000e+03  3.000000e+09  -8.187123e-07  0.00  0.00   3.775722e-09      7.058467e-15   0.00  
1.000000e+03  5.000000e+09  -8.187123e-07  0.00  0.00   2.254239e-06      8.216945e-12   0.00  
1.000000e+03  1.000000e+10  -8.187123e-07  0.00  0.00   3.288516e-03      2.386220e-08   0.00  
