!59co -> 59ni, beta-decay
!Q=0.5615 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -66.842000             -7.434129e+01         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -39.091000             -4.632129e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -23.707000             -2.936929e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -16.724000             -2.095629e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -13.906000             -1.824229e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -11.449000             -1.587329e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -9.600000              -1.444429e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -7.132000              -1.248129e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -4.588000              -9.996290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.418000              -7.406290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   -0.998000              -4.067290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   -0.303000              -8.782896e-01         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -66.844000             -7.434329e+01         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -39.092000             -4.632229e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -23.707000             -3.006429e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -16.724000             -2.136629e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -13.906000             -1.826429e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -11.449000             -1.587429e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -9.600000              -1.444429e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -7.132000              -1.248129e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -4.588000              -9.996290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.418000              -7.406290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   -0.998000              -4.067290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   -0.303000              -8.782896e-01         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -66.869000             -7.437129e+01         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -39.102000             -4.633029e+01         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -23.709000             -3.028529e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -16.725000             -2.227729e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -13.907000             -1.846829e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -11.449000             -1.588929e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -9.600000              -1.444729e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -7.132000              -1.248129e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -4.588000              -9.996290e+00         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -2.418000              -7.406290e+00         -100.00
