!59fe -> 59mn, e- capture
!Q=5.696 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -74.654000             3.747230e-82   0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -45.640000             6.866104e-53   0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -32.873000             5.817152e-40   0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -22.716000             1.284430e-29   0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -17.528000             2.708385e-24   0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -12.196000             9.198360e-19   0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -7.642000              6.063319e-14   0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -3.474000              2.045080e-09   0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.902000               1.620729e-04   0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.112000               8.804615e-01   0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -73.653000             3.747230e-81   0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -45.227000             1.781191e-52   0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -32.851000             6.119422e-40   0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -22.715000             1.287391e-29   0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -17.528000             2.708385e-24   0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -12.196000             9.198360e-19   0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -7.642000              6.063319e-14   0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -3.474000              2.045080e-09   0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.902000               1.620729e-04   0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.112000               8.804615e-01   0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -72.652000             3.764527e-80   0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -44.278000             1.580194e-51   0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -32.645000             9.833551e-40   0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -22.700000             1.332632e-29   0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -17.525000             2.733445e-24   0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -12.196000             9.198360e-19   0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -7.642000              6.063319e-14   0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -3.474000              2.045080e-09   0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   0.902000               1.620729e-04   0.00  
