!59ni -> 59co, e- capture
!Q=-0.5615 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -16.968000             1.852296e-23   0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -15.990000             1.029699e-23   0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -14.847000             3.578577e-22   0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -13.256000             4.233606e-18   0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -10.953000             3.031869e-16   0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -8.960000              4.071087e-15   0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -7.287000              1.363673e-13   0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -6.386000              1.131645e-12   0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -5.336000              1.451144e-11   0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -3.983000              4.089878e-10   0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -1.564000              1.805969e-07   0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.712000               9.993334e-04   0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.587000               2.580539e+00   0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -15.988000             1.764861e-22   0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -14.988000             1.029699e-22   0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -13.846000             1.598492e-21   0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -12.256000             5.184542e-18   0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -10.540000             3.441204e-16   0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -8.938000              4.214154e-15   0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -7.286000              1.369968e-13   0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -6.385000              1.131645e-12   0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -5.336000              1.451144e-11   0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -3.983000              4.089878e-10   0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -1.564000              1.805969e-07   0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.712000               9.993334e-04   0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.587000               2.580539e+00   0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -15.118000             1.311325e-21   0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -13.973000             1.036837e-21   0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -12.841000             1.418112e-20   0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -11.257000             1.464571e-17   0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -9.593000              8.703830e-16   0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -8.732000              5.898076e-15   0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -7.272000              1.414850e-13   0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -6.382000              1.139490e-12   0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -5.336000              1.454489e-11   0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -3.983000              4.089878e-10   0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -1.564000              1.805969e-07   0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   1.712000               9.993334e-04   0.00  
3.000000      11.000000     -8.187123e-07  0.00  0.00   4.587000               2.580539e+00   0.00  
4.000000      7.000000       1.922612e-08  0.00  0.00   -14.408000             6.756323e-21   0.00  
4.000000      8.000000       8.010883e-09  0.00  0.00   -12.822000             1.166032e-20   0.00  
4.000000      8.301030      -2.082830e-08  0.00  0.00   -11.791000             1.558513e-19   0.00  
4.000000      8.602060      -1.073458e-07  0.00  0.00   -10.258000             1.078227e-16   0.00  
4.000000      8.845098      -2.787787e-07  0.00  0.00   -8.595000              6.176044e-15   0.00  
4.000000      9.000000      -4.838573e-07  0.00  0.00   -7.914000              3.081133e-14   0.00  
4.000000      9.176091      -7.434100e-07  0.00  0.00   -7.131000              1.939592e-13   0.00  
4.000000      9.301030      -7.962818e-07  0.00  0.00   -6.351000              1.223800e-12   0.00  
4.000000      9.477121      -8.123036e-07  0.00  0.00   -5.330000              1.471331e-11   0.00  
4.000000      9.698970      -8.171101e-07  0.00  0.00   -3.982000              4.099307e-10   0.00  
4.000000      10.000000     -8.187123e-07  0.00  0.00   -1.564000              1.805969e-07   0.00  
4.000000      10.477121     -8.187123e-07  0.00  0.00   1.712000               9.993334e-04   0.00  
4.000000      11.000000     -8.187123e-07  0.00  0.00   4.587000               2.580539e+00   0.00  
5.000000      7.000000       8.491536e-08  0.00  0.00   -11.061000             3.182075e-19   0.00  
5.000000      8.000000       8.331318e-08  0.00  0.00   -10.777000             9.765858e-19   0.00  
5.000000      8.301030       7.530230e-08  0.00  0.00   -10.386000             4.165915e-18   0.00  
5.000000      8.602060       4.165659e-08  0.00  0.00   -9.257000              9.587611e-16   0.00  
5.000000      8.845098      -4.165659e-08  0.00  0.00   -7.608000              5.763820e-14   0.00  
5.000000      9.000000      -1.570133e-07  0.00  0.00   -6.923000              2.902087e-13   0.00  
5.000000      9.176091      -3.941355e-07  0.00  0.00   -6.412000              9.947419e-13   0.00  
5.000000      9.301030      -6.136337e-07  0.00  0.00   -6.068000              2.342666e-12   0.00  
5.000000      9.477121      -7.626361e-07  0.00  0.00   -5.278000              1.654666e-11   0.00  
5.000000      9.698970      -8.042927e-07  0.00  0.00   -3.974000              4.175518e-10   0.00  
5.000000      10.000000     -8.155079e-07  0.00  0.00   -1.563000              1.810133e-07   0.00  
5.000000      10.477121     -8.187123e-07  0.00  0.00   1.712000               9.993334e-04   0.00  
5.000000      11.000000     -8.187123e-07  0.00  0.00   4.587000               2.580539e+00   0.00  
6.000000      7.000000       3.444680e-07  0.00  0.00   -8.312000              1.139490e-15   0.00  
6.000000      8.000000       3.428658e-07  0.00  0.00   -8.300000              1.190448e-15   0.00  
6.000000      8.301030       3.412636e-07  0.00  0.00   -8.253000              1.369968e-15   0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -7.908000              1.017912e-14   0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -6.628000              5.366738e-13   0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -5.937000              2.842565e-12   0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -5.419000              9.970350e-12   0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -5.173000              1.856566e-11   0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -4.854000              4.382384e-11   0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -3.893000              4.985519e-10   0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -1.554000              1.848036e-07   0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   1.713000               9.993334e-04   0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   4.587000               2.580539e+00   0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -5.362000              2.816504e-12   0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -5.361000              2.836027e-12   0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -5.356000              2.888753e-12   0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -5.335000              3.218922e-12   0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   -5.126000              1.103343e-11   0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   -4.733000              4.352216e-11   0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   -4.300000              1.414850e-10   0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   -4.076000              2.533439e-10   0.00  
7.000000      9.477121       8.171101e-07  0.00  0.00   -3.822000              4.962613e-10   0.00  
7.000000      9.698970       2.996070e-07  0.00  0.00   -3.305000              1.860846e-09   0.00  
7.000000      10.000000     -5.046856e-07  0.00  0.00   -1.466000              2.237229e-07   0.00  
7.000000      10.477121     -7.850666e-07  0.00  0.00   1.716000               1.006260e-03   0.00  
7.000000      11.000000     -8.155079e-07  0.00  0.00   4.587000               2.580539e+00   0.00  
8.000000      7.000000       3.101814e-06  0.00  0.00   -3.115000              1.491799e-09   0.00  
8.000000      8.000000       3.101814e-06  0.00  0.00   -3.114000              1.495238e-09   0.00  
8.000000      8.301030       3.100212e-06  0.00  0.00   -3.113000              1.498685e-09   0.00  
8.000000      8.602060       3.098610e-06  0.00  0.00   -3.109000              1.519534e-09   0.00  
8.000000      8.845098       3.093803e-06  0.00  0.00   -3.071000              1.781191e-09   0.00  
8.000000      9.000000       3.085792e-06  0.00  0.00   -2.963000              2.790682e-09   0.00  
8.000000      9.176091       3.064964e-06  0.00  0.00   -2.752000              5.645604e-09   0.00  
8.000000      9.301030       3.036125e-06  0.00  0.00   -2.601000              8.683812e-09   0.00  
8.000000      9.477121       2.954414e-06  0.00  0.00   -2.396000              1.451144e-08   0.00  
8.000000      9.698970       2.693259e-06  0.00  0.00   -1.970000              3.941943e-08   0.00  
8.000000      10.000000      1.573337e-06  0.00  0.00   -0.823000              9.412617e-07   0.00  
8.000000      10.477121     -4.838573e-07  0.00  0.00   1.747000               1.083204e-03   0.00  
8.000000      11.000000     -7.882709e-07  0.00  0.00   4.588000               2.586488e+00   0.00  
9.000000      7.000000       7.480563e-06  0.00  0.00   -0.035000              2.436186e-06   0.00  
9.000000      8.000000       7.480563e-06  0.00  0.00   -0.035000              2.441802e-06   0.00  
9.000000      8.301030       7.480563e-06  0.00  0.00   -0.035000              2.441802e-06   0.00  
9.000000      8.602060       7.480563e-06  0.00  0.00   -0.033000              2.458727e-06   0.00  
9.000000      8.845098       7.477358e-06  0.00  0.00   -0.028000              2.504439e-06   0.00  
9.000000      9.000000       7.474154e-06  0.00  0.00   -0.019000              2.616438e-06   0.00  
9.000000      9.176091       7.464541e-06  0.00  0.00   0.002000               2.908777e-06   0.00  
9.000000      9.301030       7.450121e-06  0.00  0.00   0.026000               3.248706e-06   0.00  
9.000000      9.477121       7.413271e-06  0.00  0.00   0.084000               4.024486e-06   0.00  
9.000000      9.698970       7.291506e-06  0.00  0.00   0.231000               6.587345e-06   0.00  
9.000000      10.000000      6.724335e-06  0.00  0.00   0.687000               3.052885e-05   0.00  
9.000000      10.477121      2.340780e-06  0.00  0.00   2.037000               2.116949e-03   0.00  
9.000000      11.000000     -5.191052e-07  0.00  0.00   4.596000               2.640647e+00   0.00  
10.000000     7.000000       1.699429e-05  0.00  0.00   2.637000               3.969268e-03   0.00  
10.000000     8.000000       1.699429e-05  0.00  0.00   2.637000               3.969268e-03   0.00  
10.000000     8.301030       1.699429e-05  0.00  0.00   2.637000               3.969268e-03   0.00  
10.000000     8.602060       1.699429e-05  0.00  0.00   2.637000               3.978418e-03   0.00  
10.000000     8.845098       1.699269e-05  0.00  0.00   2.637000               3.978418e-03   0.00  
10.000000     9.000000       1.699108e-05  0.00  0.00   2.636000               3.969268e-03   0.00  
10.000000     9.176091       1.698628e-05  0.00  0.00   2.633000               3.941943e-03   0.00  
10.000000     9.301030       1.697987e-05  0.00  0.00   2.629000               3.923832e-03   0.00  
10.000000     9.477121       1.696224e-05  0.00  0.00   2.626000               3.932877e-03   0.00  
10.000000     9.698970       1.690617e-05  0.00  0.00   2.634000               4.099307e-03   0.00  
10.000000     10.000000      1.664181e-05  0.00  0.00   2.698000               5.342080e-03   0.00  
10.000000     10.477121      1.386203e-05  0.00  0.00   3.152000               2.962855e-02   0.00  
10.000000     11.000000      2.164541e-06  0.00  0.00   4.679000               3.196763e+00   0.00  
11.000000     7.000000       3.752778e-05  0.00  0.00   4.616000               1.060988e+00   0.00  
11.000000     8.000000       3.752778e-05  0.00  0.00   4.616000               1.060988e+00   0.00  
11.000000     8.301030       3.752778e-05  0.00  0.00   4.616000               1.060988e+00   0.00  
11.000000     8.602060       3.752778e-05  0.00  0.00   4.616000               1.060988e+00   0.00  
11.000000     8.845098       3.752618e-05  0.00  0.00   4.616000               1.060988e+00   0.00  
11.000000     9.000000       3.752618e-05  0.00  0.00   4.615000               1.058548e+00   0.00  
11.000000     9.176091       3.752298e-05  0.00  0.00   4.611000               1.048843e+00   0.00  
11.000000     9.301030       3.752137e-05  0.00  0.00   4.607000               1.039227e+00   0.00  
11.000000     9.477121       3.751176e-05  0.00  0.00   4.602000               1.029699e+00   0.00  
11.000000     9.698970       3.748613e-05  0.00  0.00   4.599000               1.024968e+00   0.00  
11.000000     10.000000      3.736436e-05  0.00  0.00   4.610000               1.070805e+00   0.00  
11.000000     10.477121      3.605538e-05  0.00  0.00   4.725000               1.677685e+00   0.00  
11.000000     11.000000      2.244810e-05  0.00  0.00   5.286000               1.335705e+01   0.00  
