!60cu -> 60ni, e- capture
!Q=-5.6159 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -7.325000              8.683812e-10   0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -7.819000              8.824912e-10   0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -7.959000              1.385831e-09   0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -8.071000              3.747230e-09   0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -7.501000              6.587345e-09   0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -6.212000              8.624033e-09   0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -5.039000              1.174114e-08   0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -4.349000              1.509074e-08   0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -3.498000              2.539279e-08   0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -2.496000              8.254873e-08   0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -0.936000              1.341870e-06   0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.840000               1.376291e-03   0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.635000               2.902087e+00   0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -6.346000              8.703830e-10   0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -6.820000              8.845256e-10   0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -6.959000              1.385831e-09   0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -7.071000              3.747230e-09   0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -7.088000              6.587345e-09   0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -6.191000              8.624033e-09   0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -5.038000              1.174114e-08   0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -4.349000              1.509074e-08   0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -3.498000              2.539279e-08   0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -2.496000              8.254873e-08   0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -0.936000              1.341870e-06   0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.840000               1.376291e-03   0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.635000               2.902087e+00   0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -5.476000              8.845256e-10   0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -5.826000              8.906568e-10   0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -5.961000              1.389026e-09   0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -6.072000              3.755869e-09   0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -6.140000              6.587345e-09   0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -5.985000              8.624033e-09   0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -5.023000              1.174114e-08   0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -4.346000              1.509074e-08   0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -3.497000              2.539279e-08   0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -2.496000              8.254873e-08   0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -0.936000              1.341870e-06   0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   1.840000               1.376291e-03   0.00  
3.000000      11.000000     -8.187123e-07  0.00  0.00   4.635000               2.902087e+00   0.00  
4.000000      7.000000       1.922612e-08  0.00  0.00   -4.768000              9.456064e-10   0.00  
4.000000      8.000000       8.010883e-09  0.00  0.00   -4.880000              9.434315e-10   0.00  
4.000000      8.301030      -2.082830e-08  0.00  0.00   -4.981000              1.434533e-09   0.00  
4.000000      8.602060      -1.073458e-07  0.00  0.00   -5.078000              3.790621e-09   0.00  
4.000000      8.845098      -2.787787e-07  0.00  0.00   -5.143000              6.633006e-09   0.00  
4.000000      9.000000      -4.838573e-07  0.00  0.00   -5.167000              8.643913e-09   0.00  
4.000000      9.176091      -7.434100e-07  0.00  0.00   -4.883000              1.174114e-08   0.00  
4.000000      9.301030      -7.962818e-07  0.00  0.00   -4.315000              1.512552e-08   0.00  
4.000000      9.477121      -8.123036e-07  0.00  0.00   -3.492000              2.539279e-08   0.00  
4.000000      9.698970      -8.171101e-07  0.00  0.00   -2.495000              8.254873e-08   0.00  
4.000000      10.000000     -8.187123e-07  0.00  0.00   -0.936000              1.341870e-06   0.00  
4.000000      10.477121     -8.187123e-07  0.00  0.00   1.840000               1.376291e-03   0.00  
4.000000      11.000000     -8.187123e-07  0.00  0.00   4.635000               2.902087e+00   0.00  
5.000000      7.000000       8.491536e-08  0.00  0.00   -4.071000              1.258086e-09   0.00  
5.000000      8.000000       8.331318e-08  0.00  0.00   -4.079000              1.263893e-09   0.00  
5.000000      8.301030       7.530230e-08  0.00  0.00   -4.096000              1.756752e-09   0.00  
5.000000      8.602060       4.165659e-08  0.00  0.00   -4.127000              4.127722e-09   0.00  
5.000000      8.845098      -4.165659e-08  0.00  0.00   -4.162000              6.961621e-09   0.00  
5.000000      9.000000      -1.570133e-07  0.00  0.00   -4.180000              8.988980e-09   0.00  
5.000000      9.176091      -3.941355e-07  0.00  0.00   -4.166000              1.209791e-08   0.00  
5.000000      9.301030      -6.136337e-07  0.00  0.00   -4.033000              1.540673e-08   0.00  
5.000000      9.477121      -7.626361e-07  0.00  0.00   -3.440000              2.568682e-08   0.00  
5.000000      9.698970      -8.042927e-07  0.00  0.00   -2.487000              8.312093e-08   0.00  
5.000000      10.000000     -8.155079e-07  0.00  0.00   -0.935000              1.344963e-06   0.00  
5.000000      10.477121     -8.187123e-07  0.00  0.00   1.840000               1.376291e-03   0.00  
5.000000      11.000000     -8.187123e-07  0.00  0.00   4.635000               2.902087e+00   0.00  
6.000000      7.000000       3.444680e-07  0.00  0.00   -3.283000              3.332041e-09   0.00  
6.000000      8.000000       3.428658e-07  0.00  0.00   -3.283000              3.347421e-09   0.00  
6.000000      8.301030       3.412636e-07  0.00  0.00   -3.278000              3.905804e-09   0.00  
6.000000      8.602060       3.316506e-07  0.00  0.00   -3.259000              6.572194e-09   0.00  
6.000000      8.845098       3.028114e-07  0.00  0.00   -3.239000              9.743397e-09   0.00  
6.000000      9.000000       2.579504e-07  0.00  0.00   -3.225000              1.201463e-08   0.00  
6.000000      9.176091       1.490024e-07  0.00  0.00   -3.193000              1.558513e-08   0.00  
6.000000      9.301030       1.602177e-09  0.00  0.00   -3.153000              1.935131e-08   0.00  
6.000000      9.477121      -3.396614e-07  0.00  0.00   -3.024000              2.990270e-08   0.00  
6.000000      9.698970      -6.729142e-07  0.00  0.00   -2.408000              8.845256e-08   0.00  
6.000000      10.000000     -7.866687e-07  0.00  0.00   -0.926000              1.366817e-06   0.00  
6.000000      10.477121     -8.155079e-07  0.00  0.00   1.841000               1.379464e-03   0.00  
6.000000      11.000000     -8.187123e-07  0.00  0.00   4.635000               2.902087e+00   0.00  
7.000000      7.000000       1.140750e-06  0.00  0.00   -2.313000              2.622469e-08   0.00  
7.000000      8.000000       1.139148e-06  0.00  0.00   -2.313000              2.628515e-08   0.00  
7.000000      8.301030       1.139148e-06  0.00  0.00   -2.308000              2.733445e-08   0.00  
7.000000      8.602060       1.134341e-06  0.00  0.00   -2.289000              3.233779e-08   0.00  
7.000000      8.845098       1.123126e-06  0.00  0.00   -2.264000              3.852214e-08   0.00  
7.000000      9.000000       1.103900e-06  0.00  0.00   -2.242000              4.352216e-08   0.00  
7.000000      9.176091       1.060641e-06  0.00  0.00   -2.197000              5.244576e-08   0.00  
7.000000      9.301030       9.965539e-07  0.00  0.00   -2.149000              6.247559e-08   0.00  
7.000000      9.477121       8.171101e-07  0.00  0.00   -2.058000              8.683812e-08   0.00  
7.000000      9.698970       2.996070e-07  0.00  0.00   -1.854000              1.728663e-07   0.00  
7.000000      10.000000     -5.046856e-07  0.00  0.00   -0.840000              1.613282e-06   0.00  
7.000000      10.477121     -7.850666e-07  0.00  0.00   1.844000               1.389026e-03   0.00  
7.000000      11.000000     -8.155079e-07  0.00  0.00   4.635000               2.902087e+00   0.00  
8.000000      7.000000       3.101814e-06  0.00  0.00   -1.124000              4.838496e-07   0.00  
8.000000      8.000000       3.101814e-06  0.00  0.00   -1.124000              4.838496e-07   0.00  
8.000000      8.301030       3.100212e-06  0.00  0.00   -1.120000              4.917115e-07   0.00  
8.000000      8.602060       3.098610e-06  0.00  0.00   -1.105000              5.268784e-07   0.00  
8.000000      8.845098       3.093803e-06  0.00  0.00   -1.085000              5.724142e-07   0.00  
8.000000      9.000000       3.085792e-06  0.00  0.00   -1.067000              6.105348e-07   0.00  
8.000000      9.176091       3.064964e-06  0.00  0.00   -1.030000              6.897797e-07   0.00  
8.000000      9.301030       3.036125e-06  0.00  0.00   -0.989000              7.829074e-07   0.00  
8.000000      9.477121       2.954414e-06  0.00  0.00   -0.909000              9.878941e-07   0.00  
8.000000      9.698970       2.693259e-06  0.00  0.00   -0.745000              1.569316e-06   0.00  
8.000000      10.000000      1.573337e-06  0.00  0.00   -0.227000              5.830562e-06   0.00  
8.000000      10.477121     -4.838573e-07  0.00  0.00   1.875000               1.491799e-03   0.00  
8.000000      11.000000     -7.882709e-07  0.00  0.00   4.636000               2.908777e+00   0.00  
9.000000      7.000000       7.480563e-06  0.00  0.00   0.673000               2.610420e-05   0.00  
9.000000      8.000000       7.480563e-06  0.00  0.00   0.673000               2.610420e-05   0.00  
9.000000      8.301030       7.480563e-06  0.00  0.00   0.674000               2.622469e-05   0.00  
9.000000      8.602060       7.480563e-06  0.00  0.00   0.675000               2.689741e-05   0.00  
9.000000      8.845098       7.477358e-06  0.00  0.00   0.678000               2.771471e-05   0.00  
9.000000      9.000000       7.474154e-06  0.00  0.00   0.683000               2.855686e-05   0.00  
9.000000      9.176091       7.464541e-06  0.00  0.00   0.696000               3.045863e-05   0.00  
9.000000      9.301030       7.450121e-06  0.00  0.00   0.713000               3.271225e-05   0.00  
9.000000      9.477121       7.413271e-06  0.00  0.00   0.752000               3.773205e-05   0.00  
9.000000      9.698970       7.291506e-06  0.00  0.00   0.843000               5.078207e-05   0.00  
9.000000      10.000000      6.724335e-06  0.00  0.00   1.121000               1.201463e-04   0.00  
9.000000      10.477121      2.340780e-06  0.00  0.00   2.164000               2.915482e-03   0.00  
9.000000      11.000000     -5.191052e-07  0.00  0.00   4.645000               2.962855e+00   0.00  
10.000000     7.000000       1.699429e-05  0.00  0.00   2.843000               7.528534e-03   0.00  
10.000000     8.000000       1.699429e-05  0.00  0.00   2.843000               7.528534e-03   0.00  
10.000000     8.301030       1.699429e-05  0.00  0.00   2.842000               7.511218e-03   0.00  
10.000000     8.602060       1.699429e-05  0.00  0.00   2.839000               7.459512e-03   0.00  
10.000000     8.845098       1.699269e-05  0.00  0.00   2.834000               7.408161e-03   0.00  
10.000000     9.000000       1.699108e-05  0.00  0.00   2.831000               7.374123e-03   0.00  
10.000000     9.176091       1.698628e-05  0.00  0.00   2.828000               7.357163e-03   0.00  
10.000000     9.301030       1.697987e-05  0.00  0.00   2.827000               7.391122e-03   0.00  
10.000000     9.477121       1.696224e-05  0.00  0.00   2.829000               7.511218e-03   0.00  
10.000000     9.698970       1.690617e-05  0.00  0.00   2.841000               7.974627e-03   0.00  
10.000000     10.000000      1.664181e-05  0.00  0.00   2.899000               1.010905e-02   0.00  
10.000000     10.477121      1.386203e-05  0.00  0.00   3.264000               3.987589e-02   0.00  
10.000000     11.000000      2.164541e-06  0.00  0.00   4.727000               3.595095e+00   0.00  
11.000000     7.000000       3.752778e-05  0.00  0.00   4.715000               1.414850e+00   0.00  
11.000000     8.000000       3.752778e-05  0.00  0.00   4.715000               1.411596e+00   0.00  
11.000000     8.301030       3.752778e-05  0.00  0.00   4.714000               1.411596e+00   0.00  
11.000000     8.602060       3.752778e-05  0.00  0.00   4.711000               1.398654e+00   0.00  
11.000000     8.845098       3.752618e-05  0.00  0.00   4.706000               1.385831e+00   0.00  
11.000000     9.000000       3.752618e-05  0.00  0.00   4.703000               1.376291e+00   0.00  
11.000000     9.176091       3.752298e-05  0.00  0.00   4.699000               1.363673e+00   0.00  
11.000000     9.301030       3.752137e-05  0.00  0.00   4.697000               1.357408e+00   0.00  
11.000000     9.477121       3.751176e-05  0.00  0.00   4.694000               1.351171e+00   0.00  
11.000000     9.698970       3.748613e-05  0.00  0.00   4.694000               1.357408e+00   0.00  
11.000000     10.000000      3.736436e-05  0.00  0.00   4.705000               1.421381e+00   0.00  
11.000000     10.477121      3.605538e-05  0.00  0.00   4.801000               2.078310e+00   0.00  
11.000000     11.000000      2.244810e-05  0.00  0.00   5.333000               1.498685e+01   0.00  
