!60mn -> 60cr, e- capture
!Q=6.601 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -85.800000             2.658951e-93   0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -52.073000             2.504439e-59   0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -37.541000             1.232283e-44   0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -26.081000             5.416396e-33   0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -20.251000             4.951199e-27   0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -14.245000             7.775179e-21   0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -9.058000              2.087903e-15   0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -4.376000              2.146399e-10   0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.273000               3.362872e-05   0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   3.670000               3.102490e-01   0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -84.800000             2.658951e-92   0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -51.660000             6.482020e-59   0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -37.519000             1.296315e-44   0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -26.080000             5.428882e-33   0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -20.251000             4.962613e-27   0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -14.245000             7.775179e-21   0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -9.058000              2.087903e-15   0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -4.376000              2.146399e-10   0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.273000               3.362872e-05   0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   3.670000               3.102490e-01   0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -83.798000             2.671225e-91   0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -50.712000             5.750563e-58   0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -37.313000             2.083101e-44   0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -26.065000             5.619665e-33   0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -20.248000             4.997012e-27   0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -14.244000             7.793103e-21   0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -9.058000              2.087903e-15   0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -4.376000              2.146399e-10   0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   0.273000               3.362872e-05   0.00  
