!60ni -> 60co, e- capture
!Q=3.3349 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -83.907000             1.070805e-91   0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -47.713000             3.570347e-55   0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -31.096000             3.256195e-38   0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -23.042000             5.293104e-30   0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -16.350000             3.670375e-23   0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -12.761000             1.869435e-19   0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -8.865000              2.237229e-15   0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -5.345000              1.379464e-11   0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.039000              6.290865e-08   0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.556000               7.239530e-04   0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.488000               2.068761e+00   0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -82.906000             1.070805e-90   0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -46.713000             3.570347e-54   0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -30.683000             8.427726e-38   0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -23.020000             5.568143e-30   0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -16.349000             3.687316e-23   0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -12.760000             1.869435e-19   0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -8.865000              2.242386e-15   0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -5.345000              1.379464e-11   0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.039000              6.290865e-08   0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.556000               7.239530e-04   0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.488000               2.068761e+00   0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -81.900000             1.085701e-89   0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -45.712000             3.586827e-53   0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -29.735000             7.476708e-37   0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -22.814000             8.947679e-30   0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -16.334000             3.808118e-23   0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -12.757000             1.882393e-19   0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -8.865000              2.242386e-15   0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -5.344000              1.379464e-11   0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -2.039000              6.290865e-08   0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   1.556000               7.239530e-04   0.00  
