!60ni -> 60cu, beta-decay
!Q=5.6159 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -85.335000             -8.631529e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -51.519000             -5.236929e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -37.744000             -3.946429e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -26.504000             -2.916129e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -20.380000             -2.379029e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -13.827000             -1.810629e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -8.219000              -1.307629e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -4.160000              -8.761290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   -1.757000              -4.574290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   -0.615000              -1.231290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -85.335000             -8.731529e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -51.519000             -5.278229e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -37.744000             -3.948629e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -26.504000             -2.916229e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -20.380000             -2.379129e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -13.827000             -1.810629e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -8.219000              -1.307629e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -4.160000              -8.761290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   -1.757000              -4.574290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   -0.615000              -1.231290e+00         -100.00
