!60zn -> 60cu, e- capture
!Q=-3.647 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -6.823000              -8.345290e+00         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -7.318000              -8.345290e+00         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -7.463000              -8.345290e+00         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -7.599000              -8.345290e+00         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -7.055000              -8.345290e+00         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -5.788000              -8.344290e+00         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -4.654000              -8.329290e+00         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -4.001000              -8.263290e+00         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -3.191000              -7.940290e+00         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -2.169000              -7.104290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -0.590000              -5.602290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   2.004000               -2.692290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.730000               5.597104e-01          -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -5.844000              -8.344290e+00         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -6.318000              -8.345290e+00         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -6.463000              -8.345290e+00         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -6.599000              -8.345290e+00         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -6.642000              -8.345290e+00         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -5.766000              -8.344290e+00         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -4.653000              -8.329290e+00         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -4.000000              -8.263290e+00         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -3.191000              -7.940290e+00         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -2.169000              -7.104290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -0.590000              -5.602290e+00         -100.00
