!61fe -> 61mn, e- capture
!Q=7.691 MeV
!
!rhoY         temp          mu             dQ    Vs     e-cap-rate        nu-energy-loss gamma-energy
!g/cm^3       K             1/s            erg   erg    1/s               erg/s          erg/s
1.000000e+01  1.000000e+07  -4.806530e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+01  1.000000e+08  -9.292624e-08  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+01  2.000000e+08  -2.146917e-07  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+01  4.000000e+08  -4.902661e-07  0.00  0.00   1.020939e-99      1.712815e-106  0.00  
1.000000e+01  7.000000e+08  -8.058948e-07  0.00  0.00   6.053409e-60      1.793537e-66   0.00  
1.000000e+01  1.000000e+09  -8.187123e-07  0.00  0.00   6.576578e-43      2.803563e-49   0.00  
1.000000e+01  1.500000e+09  -8.187123e-07  0.00  0.00   1.840772e-29      1.193192e-35   0.00  
1.000000e+01  2.000000e+09  -8.187123e-07  0.00  0.00   1.244515e-22      1.090713e-28   0.00  
1.000000e+01  3.000000e+09  -8.187123e-07  0.00  0.00   1.191242e-15      1.613282e-21   0.00  
1.000000e+01  5.000000e+09  -8.187123e-07  0.00  0.00   8.356030e-10      1.989346e-15   0.00  
1.000000e+01  1.000000e+10  -8.187123e-07  0.00  0.00   7.655966e-05      4.118228e-10   0.00  
1.000000e+01  3.000000e+10  -8.187123e-07  0.00  0.00   4.027170e+00      8.029905e-05   0.00  
1.000000e+01  1.000000e+11  -8.187123e-07  0.00  0.00   9.015711e+03      6.204552e-01   0.00  
1.000000e+02  1.000000e+07  -1.602177e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+02  1.000000e+08  -6.088271e-08  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+02  2.000000e+08  -1.522068e-07  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+02  4.000000e+08  -3.636941e-07  0.00  0.00   1.020939e-98      1.712815e-105  0.00  
1.000000e+02  7.000000e+08  -7.145708e-07  0.00  0.00   1.570363e-59      4.642056e-66   0.00  
1.000000e+02  1.000000e+09  -8.107014e-07  0.00  0.00   6.918310e-43      2.949242e-49   0.00  
1.000000e+02  1.500000e+09  -8.187123e-07  0.00  0.00   1.845015e-29      1.195943e-35   0.00  
1.000000e+02  2.000000e+09  -8.187123e-07  0.00  0.00   1.244515e-22      1.090713e-28   0.00  
1.000000e+02  3.000000e+09  -8.187123e-07  0.00  0.00   1.191242e-15      1.613282e-21   0.00  
1.000000e+02  5.000000e+09  -8.187123e-07  0.00  0.00   8.356030e-10      1.989346e-15   0.00  
1.000000e+02  1.000000e+10  -8.187123e-07  0.00  0.00   7.655966e-05      4.118228e-10   0.00  
1.000000e+02  3.000000e+10  -8.187123e-07  0.00  0.00   4.027170e+00      8.029905e-05   0.00  
1.000000e+02  1.000000e+11  -8.187123e-07  0.00  0.00   9.015711e+03      6.204552e-01   0.00  
1.000000e+03  1.000000e+07   3.204353e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+03  1.000000e+08  -2.883918e-08  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+03  2.000000e+08  -8.811971e-08  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+03  4.000000e+08  -2.355200e-07  0.00  0.00   1.025652e-97      1.720721e-104  0.00  
1.000000e+03  7.000000e+08  -5.030835e-07  0.00  0.00   1.393157e-58      4.118228e-65   0.00  
1.000000e+03  1.000000e+09  -7.450121e-07  0.00  0.00   1.111732e-42      4.739258e-49   0.00  
1.000000e+03  1.500000e+09  -8.107014e-07  0.00  0.00   1.909853e-29      1.237971e-35   0.00  
1.000000e+03  2.000000e+09  -8.171101e-07  0.00  0.00   1.253141e-22      1.098273e-28   0.00  
1.000000e+03  3.000000e+09  -8.187123e-07  0.00  0.00   1.193988e-15      1.613282e-21   0.00  
1.000000e+03  5.000000e+09  -8.187123e-07  0.00  0.00   8.356030e-10      1.989346e-15   0.00  
1.000000e+03  1.000000e+10  -8.187123e-07  0.00  0.00   7.655966e-05      4.118228e-10   0.00  
1.000000e+03  3.000000e+10  -8.187123e-07  0.00  0.00   4.027170e+00      8.029905e-05   0.00  
1.000000e+03  1.000000e+11  -8.187123e-07  0.00  0.00   9.015711e+03      6.204552e-01   0.00  
