!61ni -> 61co, e- capture
!Q=1.8327 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -77.938000             -8.531429e+01         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -44.188000             -5.125729e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -27.144000             -3.390129e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -19.078000             -2.557629e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -14.714000             -2.104429e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -11.087000             -1.722229e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -9.136000              -1.513029e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -6.988000              -1.277829e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -4.905000              -1.043429e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.262000              -7.455290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.376000               -3.334290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.369000               1.927104e-01          -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -76.936000             -8.431229e+01         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -43.188000             -5.025729e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -26.144000             -3.290129e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -18.665000             -2.516329e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -14.693000             -2.102229e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -11.086000             -1.722029e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -9.136000              -1.512929e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -6.988000              -1.277829e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -4.905000              -1.043429e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.262000              -7.455290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.376000               -3.334290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.369000               1.927104e-01          -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -75.920000             -8.329629e+01         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -42.182000             -4.925129e+01         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -25.142000             -3.189929e+01         -100.00
