!62cu -> 62ni, e- capture
!Q=-3.437 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -7.471000              -8.582290e+00         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -7.970000              -8.588290e+00         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -8.154000              -8.643290e+00         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -8.364000              -8.756290e+00         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -7.872000              -8.848290e+00         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -6.632000              -8.908290e+00         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -5.520000              -8.975290e+00         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -4.870000              -8.984290e+00         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -4.047000              -8.787290e+00         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -3.037000              -8.056290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -1.461000              -6.477290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.553000               -3.156290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.463000               2.867104e-01          -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -6.492000              -8.581290e+00         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -6.971000              -8.588290e+00         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -7.154000              -8.643290e+00         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -7.364000              -8.756290e+00         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -7.459000              -8.848290e+00         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -6.610000              -8.908290e+00         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -5.518000              -8.975290e+00         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -4.870000              -8.984290e+00         -100.00
