!63co -> 63fe, e- capture
!Q=6.571 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -89.491000             -9.626229e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -54.376000             -6.089929e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -39.177000             -4.553829e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -27.072000             -3.324529e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -20.827000             -2.686429e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -14.312000             -2.015329e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -8.712000              -1.429429e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -3.891000              -9.107290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.782000               -3.880290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.084000               -6.928961e-02         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -88.490000             -9.526229e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -53.963000             -6.048529e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -39.156000             -4.551629e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -27.071000             -3.324329e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -20.826000             -2.686329e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -14.312000             -2.015229e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -8.712000              -1.429429e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -3.891000              -9.107290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.782000               -3.880290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.084000               -6.928961e-02         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
