!63cu -> 63ni, e- capture
!Q=0.578 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -49.957000             -5.833829e+01         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -18.043000             -2.541029e+01         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -15.851000             -2.290429e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -14.275000             -2.100929e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -12.500997             -1.897329e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -10.551964             -1.684929e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -8.710707              -1.478729e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -7.545997              -1.344729e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -5.998093              -1.168129e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -4.264528              -9.716290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.093062              -7.246290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.346022               -3.373290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.342053               1.617104e-01          -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -48.904000             -5.728429e+01         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -17.041000             -2.440929e+01         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -14.850000             -2.190429e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -13.275000             -2.000929e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -12.087999             -1.856029e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -10.529966             -1.682829e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -8.709708              -1.478629e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -7.545997              -1.344729e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -5.997102              -1.168129e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -4.264528              -9.716290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.093062              -7.246290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.346022               -3.373290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.342053               1.617104e-01          -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -47.392000             -5.577329e+01         -100.00
