!63cu -> 63zn, beta-decay
!Q=2.8559 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.999000             1.673826e-97     0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -53.597000             2.273581e-53     0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -33.048000             2.116949e-34     0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -24.735000             1.704945e-27     0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -18.066000             7.156660e-22     0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -14.412000             7.545889e-19     0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -10.323000             1.681552e-15     0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -6.477000              3.131197e-12     0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -3.318000              6.204552e-09     0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   -1.253000              3.661933e-05     0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   -0.283000              6.467112e-02     0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.999000             1.669977e-98     0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -53.598000             2.273581e-54     0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -33.048000             8.160380e-35     0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -24.735000             1.620729e-27     0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -18.066000             7.140200e-22     0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -14.412000             7.545889e-19     0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -10.323000             1.681552e-15     0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -6.477000              3.131197e-12     0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -3.318000              6.204552e-09     0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   -1.253000              3.661933e-05     0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   -0.283000              6.467112e-02     0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -99.999000             1.650861e-99     0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -53.599000             2.263135e-55     0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -33.049000             9.198360e-36     0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -24.736000             1.008580e-27     0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -18.066000             6.897797e-22     0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -14.412000             7.493943e-19     0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -10.323000             1.681552e-15     0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -6.477000              3.123995e-12     0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -3.318000              6.204552e-09     0.00  
