!63ga -> 63zn, e- capture
!Q=-5.009 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -6.330000              8.427726e-08   0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -6.825000              8.427726e-08   0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -6.971000              8.427726e-08   0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -7.110000              8.427726e-08   0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -6.572000              8.408343e-08   0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -5.314000              8.369710e-08   0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -4.203000              8.254873e-08   0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -3.578000              8.235887e-08   0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -2.832000              9.051288e-08   0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -1.979000              1.712815e-07   0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -0.737000              1.966574e-06   0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.810000               1.272654e-03   0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.603000               2.677382e+00   0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -5.350000              8.427726e-08   0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -5.826000              8.427726e-08   0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -5.972000              8.427726e-08   0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -6.110000              8.427726e-08   0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -6.159000              8.408343e-08   0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -5.292000              8.369710e-08   0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -4.202000              8.254873e-08   0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -3.578000              8.235887e-08   0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -2.832000              9.051288e-08   0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -1.979000              1.712815e-07   0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -0.737000              1.966574e-06   0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.810000               1.272654e-03   0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.603000               2.677382e+00   0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -4.481000              8.447154e-08   0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -4.832000              8.427726e-08   0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -4.974000              8.427726e-08   0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -5.111000              8.427726e-08   0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -5.212000              8.408343e-08   0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -5.087000              8.369710e-08   0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -4.188000              8.254873e-08   0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -3.575000              8.235887e-08   0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -2.831000              9.051288e-08   0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -1.979000              1.712815e-07   0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -0.737000              1.966574e-06   0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   1.810000               1.272654e-03   0.00  
3.000000      11.000000     -8.187123e-07  0.00  0.00   4.603000               2.677382e+00   0.00  
4.000000      7.000000       1.922612e-08  0.00  0.00   -3.773000              8.544967e-08   0.00  
4.000000      8.000000       8.010883e-09  0.00  0.00   -3.886000              8.505707e-08   0.00  
4.000000      8.301030      -2.082830e-08  0.00  0.00   -3.994000              8.486144e-08   0.00  
4.000000      8.602060      -1.073458e-07  0.00  0.00   -4.117000              8.466626e-08   0.00  
4.000000      8.845098      -2.787787e-07  0.00  0.00   -4.214000              8.447154e-08   0.00  
4.000000      9.000000      -4.838573e-07  0.00  0.00   -4.269000              8.408343e-08   0.00  
4.000000      9.176091      -7.434100e-07  0.00  0.00   -4.047000              8.273902e-08   0.00  
4.000000      9.301030      -7.962818e-07  0.00  0.00   -3.544000              8.254873e-08   0.00  
4.000000      9.477121      -8.123036e-07  0.00  0.00   -2.826000              9.051288e-08   0.00  
4.000000      9.698970      -8.171101e-07  0.00  0.00   -1.979000              1.716763e-07   0.00  
4.000000      10.000000     -8.187123e-07  0.00  0.00   -0.737000              1.966574e-06   0.00  
4.000000      10.477121     -8.187123e-07  0.00  0.00   1.810000               1.272654e-03   0.00  
4.000000      11.000000     -8.187123e-07  0.00  0.00   4.603000               2.677382e+00   0.00  
