!63ni -> 63cu, beta-decay
!Q=-0.578 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -9.698000              -1.679929e+01         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -9.697000              -1.679529e+01         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -9.520000              -1.645229e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -8.725000              -1.542229e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -8.234000              -1.484729e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -7.944000              -1.432629e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -7.260000              -1.322129e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -6.627000              -1.243329e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -5.872000              -1.138829e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -4.722000              -9.830290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.389000              -7.469290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   -0.711000              -4.387290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   -0.123000              -1.271290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -9.703000              -1.680529e+01         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -9.698000              -1.679729e+01         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -9.520000              -1.645329e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -8.725000              -1.542229e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -8.234000              -1.484929e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -7.944000              -1.432829e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -7.260000              -1.322129e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -6.627000              -1.243329e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -5.872000              -1.138829e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -4.722000              -9.830290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.389000              -7.469290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   -0.711000              -4.387290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   -0.123000              -1.271290e+00         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -9.741000              -1.685629e+01         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -9.711000              -1.681329e+01         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -9.526000              -1.645929e+01         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -8.727000              -1.542429e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -8.235000              -1.485129e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -7.944000              -1.434529e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -7.260000              -1.322429e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -6.627000              -1.243429e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -5.872000              -1.138829e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -4.722000              -9.830290e+00         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -2.389000              -7.469290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   -0.711000              -4.387290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   -0.123000              -1.271290e+00         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -9.936000              -1.711929e+01         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -9.837000              -1.696729e+01         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -9.586000              -1.652129e+01         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -8.748000              -1.544729e+01         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -8.245000              -1.486229e+01         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -7.949000              -1.437429e+01         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -7.261000              -1.325529e+01         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -6.627000              -1.244529e+01         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -5.872000              -1.139129e+01         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -4.722000              -9.830290e+00         -100.00
