!63zn -> 63ga, beta-decay
!Q=5.009 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.999000             1.605870e-106    0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -78.411000             3.278766e-79     0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -47.747000             1.139490e-48     0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -35.213000             3.425393e-37     0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -25.346000             4.342206e-28     0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -20.209000             2.196395e-23     0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -14.393000             1.904190e-18     0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -9.080000              4.402612e-14     0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -4.741000              5.089913e-10     0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   -1.756000              1.512552e-05     0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   -0.638000              5.491745e-02     0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.999000             1.605870e-106    0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -78.411000             3.278766e-80     0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -47.748000             4.402612e-49     0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -35.213000             3.256195e-37     0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -25.346000             4.322255e-28     0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -20.209000             2.196395e-23     0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -14.393000             1.904190e-18     0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -9.080000              4.402612e-14     0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -4.741000              5.089913e-10     0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   -1.756000              1.512552e-05     0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   -0.638000              5.491745e-02     0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -99.999000             1.605870e-106    0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -78.414000             3.263701e-81     0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -47.749000             4.962613e-50     0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -35.213000             2.026331e-37     0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -25.346000             4.185144e-28     0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -20.209000             2.181275e-23     0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -14.393000             1.904190e-18     0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -9.080000              4.402612e-14     0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -4.741000              5.089913e-10     0.00  
