!64ga -> 64ge, beta-decay
!Q=3.899 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.999000             -1.057943e+02         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -65.571000             -6.510029e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -40.160000             -4.074229e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -30.047000             -3.175629e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -22.208000             -2.460629e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -18.100000             -2.088729e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -13.306000             -1.692029e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -8.751000              -1.319829e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -4.746000              -9.381290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   -1.750000              -4.969290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   -0.486000              -1.403290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.999000             -1.057943e+02         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -65.571000             -6.610029e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -40.160000             -4.115529e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -30.047000             -3.177829e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -22.208000             -2.460829e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -18.100000             -2.088729e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -13.306000             -1.692029e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -8.751000              -1.319829e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -4.746000              -9.381290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   -1.750000              -4.969290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   -0.486000              -1.403290e+00         -100.00
