!64ni -> 64co, e- capture
!Q=7.818 MeV
!
!rhoY         temp          mu             dQ    Vs     e-cap-rate        nu-energy-loss gamma-energy
!g/cm^3       K             1/s            erg   erg    1/s               erg/s          erg/s
1.000000e+01  1.000000e+07  -4.806530e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+01  1.000000e+08  -9.292624e-08  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+01  2.000000e+08  -2.146917e-07  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+01  4.000000e+08  -4.902661e-07  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+01  7.000000e+08  -8.058948e-07  0.00  0.00   1.496236e-60      4.422933e-67   0.00  
1.000000e+01  1.000000e+09  -8.187123e-07  0.00  0.00   3.083188e-43      1.314348e-49   0.00  
1.000000e+01  1.500000e+09  -8.187123e-07  0.00  0.00   1.545254e-29      1.001637e-35   0.00  
1.000000e+01  2.000000e+09  -8.187123e-07  0.00  0.00   1.513561e-22      1.332632e-28   0.00  
1.000000e+01  3.000000e+09  -8.187123e-07  0.00  0.00   2.437811e-15      3.347421e-21   0.00  
1.000000e+01  5.000000e+09  -8.187123e-07  0.00  0.00   2.971666e-09      7.511218e-15   0.00  
1.000000e+01  1.000000e+10  -8.187123e-07  0.00  0.00   2.735269e-04      1.677685e-09   0.00  
1.000000e+01  3.000000e+10  -8.187123e-07  0.00  0.00   9.484185e+00      2.087903e-04   0.00  
1.000000e+01  1.000000e+11  -8.187123e-07  0.00  0.00   1.506607e+04      1.065885e+00   0.00  
1.000000e+02  1.000000e+07  -1.602177e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+02  1.000000e+08  -6.088271e-08  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+02  2.000000e+08  -1.522068e-07  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+02  4.000000e+08  -3.636941e-07  0.00  0.00   5.495409e-100     1.605870e-106  0.00  
1.000000e+02  7.000000e+08  -7.145708e-07  0.00  0.00   3.881504e-60      1.147388e-66   0.00  
1.000000e+02  1.000000e+09  -8.107014e-07  0.00  0.00   3.243396e-43      1.382644e-49   0.00  
1.000000e+02  1.500000e+09  -8.187123e-07  0.00  0.00   1.548817e-29      1.006260e-35   0.00  
1.000000e+02  2.000000e+09  -8.187123e-07  0.00  0.00   1.517050e-22      1.332632e-28   0.00  
1.000000e+02  3.000000e+09  -8.187123e-07  0.00  0.00   2.437811e-15      3.347421e-21   0.00  
1.000000e+02  5.000000e+09  -8.187123e-07  0.00  0.00   2.971666e-09      7.511218e-15   0.00  
1.000000e+02  1.000000e+10  -8.187123e-07  0.00  0.00   2.735269e-04      1.677685e-09   0.00  
1.000000e+02  3.000000e+10  -8.187123e-07  0.00  0.00   9.484185e+00      2.087903e-04   0.00  
1.000000e+02  1.000000e+11  -8.187123e-07  0.00  0.00   1.506607e+04      1.065885e+00   0.00  
1.000000e+03  1.000000e+07   3.204353e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+03  1.000000e+08  -2.883918e-08  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+03  2.000000e+08  -8.811971e-08  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+03  4.000000e+08  -2.355200e-07  0.00  0.00   5.520774e-99      9.240818e-106  0.00  
1.000000e+03  7.000000e+08  -5.030835e-07  0.00  0.00   3.443499e-59      1.017912e-65   0.00  
1.000000e+03  1.000000e+09  -7.450121e-07  0.00  0.00   5.211947e-43      2.221828e-49   0.00  
1.000000e+03  1.500000e+09  -8.107014e-07  0.00  0.00   1.603245e-29      1.039227e-35   0.00  
1.000000e+03  2.000000e+09  -8.171101e-07  0.00  0.00   1.527566e-22      1.341870e-28   0.00  
1.000000e+03  3.000000e+09  -8.187123e-07  0.00  0.00   2.437811e-15      3.355138e-21   0.00  
1.000000e+03  5.000000e+09  -8.187123e-07  0.00  0.00   2.971666e-09      7.511218e-15   0.00  
1.000000e+03  1.000000e+10  -8.187123e-07  0.00  0.00   2.735269e-04      1.677685e-09   0.00  
1.000000e+03  3.000000e+10  -8.187123e-07  0.00  0.00   9.484185e+00      2.087903e-04   0.00  
1.000000e+03  1.000000e+11  -8.187123e-07  0.00  0.00   1.506607e+04      1.065885e+00   0.00  
