!64ni -> 64cu, beta-decay
!Q=1.1641 MeV
!
!log(rhoY)    log(temp)     mu             dQ    VS     log(beta-decay-rate)   nu-energy-loss   gamma-energy
!log(g/cm^3)  log(K)        1/s            erg   erg    log(1/s)               erg/s            erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             7.686177e-99     0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -54.292000             6.233190e-55     0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -30.600000             4.332219e-32     0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -20.259000             3.116810e-22     0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -15.883000             5.671663e-19     0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -12.157000             3.409655e-16     0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -10.095000             1.354286e-14     0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -7.612000              1.209791e-12     0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -4.841000              1.852296e-10     0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.187000              5.993912e-08     0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   -0.504000              6.881932e-05     0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   0.008000               7.686177e-02     0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             1.605870e-106    0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             7.650862e-100    0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -54.292000             6.218854e-56     0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -30.600000             4.332219e-33     0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -20.259000             1.204233e-22     0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -15.883000             5.391510e-19     0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -12.157000             3.393989e-16     0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -10.095000             1.354286e-14     0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -7.612000              1.209791e-12     0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -4.841000              1.852296e-10     0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.187000              5.993912e-08     0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   -0.504000              6.881932e-05     0.00  
