!64zn -> 64cu, e- capture
!Q=1.089 MeV
!
!rhoY         temp          mu             dQ    Vs     e-cap-rate        nu-energy-loss gamma-energy
!g/cm^3       K             1/s            erg   erg    1/s               erg/s          erg/s
1.000000e+01  1.000000e+07  -4.806530e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+01  1.000000e+08  -9.292624e-08  0.00  0.00   8.953648e-42      3.764527e-49   0.00  
1.000000e+01  2.000000e+08  -2.146917e-07  0.00  0.00   9.840111e-27      8.408343e-34   0.00  
1.000000e+01  4.000000e+08  -4.902661e-07  0.00  0.00   5.623413e-19      9.878941e-26   0.00  
1.000000e+01  7.000000e+08  -8.058948e-07  0.00  0.00   7.943282e-15      2.539279e-21   0.00  
1.000000e+01  1.000000e+09  -8.187123e-07  0.00  0.00   5.321083e-12      2.521799e-18   0.00  
1.000000e+01  1.500000e+09  -8.187123e-07  0.00  0.00   1.566751e-09      1.176821e-15   0.00  
1.000000e+01  2.000000e+09  -8.187123e-07  0.00  0.00   3.971915e-08      4.185144e-14   0.00  
1.000000e+01  3.000000e+09  -8.187123e-07  0.00  0.00   1.770109e-06      3.038858e-12   0.00  
1.000000e+01  5.000000e+09  -8.187123e-07  0.00  0.00   9.036495e-05      2.771471e-10   0.00  
1.000000e+01  1.000000e+10  -8.187123e-07  0.00  0.00   1.273503e-02      7.442355e-08   0.00  
1.000000e+01  3.000000e+10  -8.187123e-07  0.00  0.00   2.511886e+01      4.505162e-04   0.00  
1.000000e+01  1.000000e+11  -8.187123e-07  0.00  0.00   2.233572e+04      1.457842e+00   0.00  
1.000000e+02  1.000000e+07  -1.602177e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+02  1.000000e+08  -6.088271e-08  0.00  0.00   8.974288e-41      3.781903e-48   0.00  
1.000000e+02  2.000000e+08  -1.522068e-07  0.00  0.00   9.862795e-26      8.408343e-33   0.00  
1.000000e+02  4.000000e+08  -3.636941e-07  0.00  0.00   5.623413e-18      9.878941e-25   0.00  
1.000000e+02  7.000000e+08  -7.145708e-07  0.00  0.00   2.055891e-14      6.572194e-21   0.00  
1.000000e+02  1.000000e+09  -8.107014e-07  0.00  0.00   5.597576e-12      2.646735e-18   0.00  
1.000000e+02  1.500000e+09  -8.187123e-07  0.00  0.00   1.570363e-09      1.179534e-15   0.00  
1.000000e+02  2.000000e+09  -8.187123e-07  0.00  0.00   3.981072e-08      4.194792e-14   0.00  
1.000000e+02  3.000000e+09  -8.187123e-07  0.00  0.00   1.770109e-06      3.038858e-12   0.00  
1.000000e+02  5.000000e+09  -8.187123e-07  0.00  0.00   9.036495e-05      2.771471e-10   0.00  
1.000000e+02  1.000000e+10  -8.187123e-07  0.00  0.00   1.273503e-02      7.442355e-08   0.00  
1.000000e+02  3.000000e+10  -8.187123e-07  0.00  0.00   2.511886e+01      4.505162e-04   0.00  
1.000000e+02  1.000000e+11  -8.187123e-07  0.00  0.00   2.233572e+04      1.457842e+00   0.00  
1.000000e+03  1.000000e+07   3.204353e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+03  1.000000e+08  -2.883918e-08  0.00  0.00   9.332543e-40      3.923832e-47   0.00  
1.000000e+03  2.000000e+08  -8.811971e-08  0.00  0.00   9.977001e-25      8.525314e-32   0.00  
1.000000e+03  4.000000e+08  -2.355200e-07  0.00  0.00   5.649370e-17      9.924540e-24   0.00  
1.000000e+03  7.000000e+08  -5.030835e-07  0.00  0.00   1.828100e-13      5.830562e-20   0.00  
1.000000e+03  1.000000e+09  -7.450121e-07  0.00  0.00   8.994976e-12      4.262952e-18   0.00  
1.000000e+03  1.500000e+09  -8.107014e-07  0.00  0.00   1.625549e-09      1.220985e-15   0.00  
1.000000e+03  2.000000e+09  -8.171101e-07  0.00  0.00   4.008667e-08      4.223869e-14   0.00  
1.000000e+03  3.000000e+09  -8.187123e-07  0.00  0.00   1.774189e-06      3.045863e-12   0.00  
1.000000e+03  5.000000e+09  -8.187123e-07  0.00  0.00   9.036495e-05      2.777860e-10   0.00  
1.000000e+03  1.000000e+10  -8.187123e-07  0.00  0.00   1.273503e-02      7.442355e-08   0.00  
1.000000e+03  3.000000e+10  -8.187123e-07  0.00  0.00   2.511886e+01      4.505162e-04   0.00  
1.000000e+03  1.000000e+11  -8.187123e-07  0.00  0.00   2.233572e+04      1.457842e+00   0.00  
1.000000e+04  1.000000e+07   1.922612e-08  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+04  1.000000e+08   8.010883e-09  0.00  0.00   1.348963e-38      5.684737e-46   0.00  
1.000000e+04  2.000000e+08  -2.082830e-08  0.00  0.00   1.132400e-23      9.676324e-31   0.00  
1.000000e+04  4.000000e+08  -1.073458e-07  0.00  0.00   5.888437e-16      1.034452e-22   0.00  
1.000000e+04  7.000000e+08  -2.787787e-07  0.00  0.00   1.853532e-12      5.925301e-19   0.00  
1.000000e+04  1.000000e+09  -4.838573e-07  0.00  0.00   5.970353e-11      2.822997e-17   0.00  
1.000000e+04  1.500000e+09  -7.434100e-07  0.00  0.00   2.254239e-09      1.689314e-15   0.00  
