!65cu -> 65ni, e- capture
!Q=2.6481 MeV
!
!log(rhoY)    log(temp)     mu              dQ    Vs     log(e-cap-rate)        nu-energy-loss gamma-energy
!g/cm^3       log(K)        1/s             erg   erg    log(1/s)                    erg/s          erg/s
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
1.000000      8.301030      -2.146917e-07  0.00  0.00   -64.826000             1.284430e-72   0.00  
1.000000      8.602060      -4.902661e-07  0.00  0.00   -37.362000             7.650862e-45   0.00  
1.000000      8.845098      -8.058948e-07  0.00  0.00   -24.717000             6.091306e-32   0.00  
1.000000      9.000000      -8.187123e-07  0.00  0.00   -18.482000             1.544224e-25   0.00  
1.000000      9.176091      -8.187123e-07  0.00  0.00   -13.366000             3.167455e-20   0.00  
1.000000      9.301030      -8.187123e-07  0.00  0.00   -10.652000             2.284075e-17   0.00  
1.000000      9.477121      -8.187123e-07  0.00  0.00   -7.718000              3.189410e-14   0.00  
1.000000      9.698970      -8.187123e-07  0.00  0.00   -5.036000              2.942459e-11   0.00  
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.377000              3.218922e-08   0.00  
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.190000               3.489076e-04   0.00  
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.254000               1.249426e+00   0.00  
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
2.000000      8.301030      -1.522068e-07  0.00  0.00   -63.825000             1.287391e-71   0.00  
2.000000      8.602060      -3.636941e-07  0.00  0.00   -36.361000             7.650862e-44   0.00  
2.000000      8.845098      -7.145708e-07  0.00  0.00   -24.304000             1.576560e-31   0.00  
2.000000      9.000000      -8.107014e-07  0.00  0.00   -18.461000             1.624465e-25   0.00  
2.000000      9.176091      -8.187123e-07  0.00  0.00   -13.365000             3.174756e-20   0.00  
2.000000      9.301030      -8.187123e-07  0.00  0.00   -10.651000             2.284075e-17   0.00  
2.000000      9.477121      -8.187123e-07  0.00  0.00   -7.718000              3.189410e-14   0.00  
2.000000      9.698970      -8.187123e-07  0.00  0.00   -5.036000              2.942459e-11   0.00  
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.377000              3.218922e-08   0.00  
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.190000               3.489076e-04   0.00  
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.254000               1.249426e+00   0.00  
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.999000             1.605870e-106  0.00  
3.000000      8.301030      -8.811971e-08  0.00  0.00   -62.820000             1.302298e-70   0.00  
3.000000      8.602060      -2.355200e-07  0.00  0.00   -35.360000             7.686177e-43   0.00  
3.000000      8.845098      -5.030835e-07  0.00  0.00   -23.356000             1.401879e-30   0.00  
3.000000      9.000000      -7.450121e-07  0.00  0.00   -18.254000             2.610420e-25   0.00  
3.000000      9.176091      -8.107014e-07  0.00  0.00   -13.351000             3.286324e-20   0.00  
3.000000      9.301030      -8.171101e-07  0.00  0.00   -10.648000             2.299908e-17   0.00  
3.000000      9.477121      -8.187123e-07  0.00  0.00   -7.718000              3.189410e-14   0.00  
3.000000      9.698970      -8.187123e-07  0.00  0.00   -5.036000              2.942459e-11   0.00  
3.000000      10.000000     -8.187123e-07  0.00  0.00   -2.377000              3.226342e-08   0.00  
3.000000      10.477121     -8.187123e-07  0.00  0.00   1.190000               3.489076e-04   0.00  
