!65cu -> 65zn, beta-decay
!Q=0.8409 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -77.590997             -8.496129e+01         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -41.877663             -4.893529e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -22.882743             -2.962529e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -14.648767             -2.112729e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -12.063829             -1.836729e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -9.826501              -1.591829e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -8.482614              -1.441829e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -6.766909              -1.247529e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -4.680982              -1.013229e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.334405              -7.562290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.208755               -4.402290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   2.791398               -1.338290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -78.592968             -8.596229e+01         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -42.874642             -4.993029e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -23.880433             -3.062329e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -15.061398             -2.154029e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -12.085716             -1.838929e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -9.827462              -1.592029e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -8.482614              -1.441929e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -6.766909              -1.247629e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -4.680982              -1.013229e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.334405              -7.562290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.208755               -4.402290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   2.791398               -1.338290e+00         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -79.608677             -8.697729e+01         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -43.851388             -5.088429e+01         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -24.860040             -3.160429e+01         -100.00
