!65ga -> 65zn, e- capture
!Q=-2.7439 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -7.089000              -8.931290e+00         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -7.583000              -8.932290e+00         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -7.733000              -8.937290e+00         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -7.892000              -8.963290e+00         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -7.386000              -9.009290e+00         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -6.148000              -9.046290e+00         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -5.046000              -9.066290e+00         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -4.409000              -9.009290e+00         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -3.621000              -8.688290e+00         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -2.681000              -7.881290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -1.250000              -6.358290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.653000               -3.081290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.562000               3.787104e-01          -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -6.109000              -8.930290e+00         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -6.584000              -8.931290e+00         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -6.733000              -8.936290e+00         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -6.892000              -8.963290e+00         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -6.973000              -9.009290e+00         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -6.127000              -9.046290e+00         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -5.044000              -9.066290e+00         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -4.409000              -9.009290e+00         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -3.621000              -8.688290e+00         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -2.681000              -7.881290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -1.250000              -6.358290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.653000               -3.081290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.562000               3.787104e-01          -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -5.240000              -8.922290e+00         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -5.590000              -8.927290e+00         -100.00
