!46cr -> 46v, e- capture
!Q=-7.092 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   0.472001               -4.803290e+00         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   0.472000               -4.803290e+00         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   0.472000               -4.803290e+00         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   0.472000               -4.803290e+00         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   0.472001               -4.803290e+00         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   0.472013               -4.803290e+00         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   0.472175               -4.803290e+00         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   0.471766               -4.802290e+00         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   0.474411               -4.795290e+00         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   0.496443               -4.740290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   0.744278               -4.268290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   2.371947               -2.215290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.791015               6.537104e-01          -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   0.472011               -4.803290e+00         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   0.472004               -4.803290e+00         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   0.472003               -4.803290e+00         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   0.472002               -4.803290e+00         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   0.472002               -4.803290e+00         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   0.472014               -4.803290e+00         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   0.472175               -4.803290e+00         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   0.471766               -4.802290e+00         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   0.474411               -4.795290e+00         -100.00
