!47v -> 47ti, e- capture
!Q=-2.4168 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -3.473964              -9.238290e+00         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -3.473988              -9.238290e+00         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -3.472992              -9.237290e+00         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -3.460994              -9.225290e+00         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -3.445977              -9.209290e+00         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -3.438562              -9.201290e+00         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -3.429767              -9.183290e+00         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -3.406525              -9.126290e+00         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -3.269453              -8.834290e+00         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -2.649410              -7.955290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -1.130479              -6.201290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.445603               -3.203290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.141053               -2.028961e-02         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -3.473656              -9.237290e+00         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -3.473884              -9.238290e+00         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -3.472916              -9.237290e+00         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -3.460937              -9.225290e+00         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -3.445941              -9.209290e+00         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -3.438539              -9.201290e+00         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -3.429739              -9.183290e+00         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -3.406461              -9.125290e+00         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -3.269453              -8.834290e+00         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -2.649410              -7.955290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -1.130479              -6.201290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.445603               -3.203290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.141053               -2.028961e-02         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -3.471456              -9.232290e+00         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -3.472857              -9.235290e+00         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -3.472162              -9.235290e+00         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -3.460371              -9.223290e+00         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -3.445475              -9.207290e+00         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -3.438260              -9.200290e+00         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -3.429535              -9.182290e+00         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -3.406270              -9.125290e+00         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -3.269141              -8.834290e+00         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -2.649410              -7.955290e+00         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -1.130479              -6.201290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   1.445603               -3.203290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   4.141053               -2.028961e-02         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -3.461137              -9.207290e+00         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -3.463982              -9.214290e+00         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -3.465042              -9.217290e+00         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -3.454838              -9.209290e+00         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -3.440798              -9.196290e+00         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -3.434154              -9.190290e+00         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -3.427081              -9.176290e+00         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -3.404218              -9.120290e+00         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -3.266886              -8.831290e+00         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -2.648678              -7.954290e+00         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   -1.130479              -6.201290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   1.445603               -3.203290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   4.141053               -2.028961e-02         -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   -3.412130              -9.097290e+00         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   -3.413053              -9.098290e+00         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   -3.414620              -9.102290e+00         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   -3.408259              -9.102290e+00         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   -3.398279              -9.097290e+00         -100.00
