!48v -> 48cr, beta-decay
!Q=1.148 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -91.208000             -9.857329e+01         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -47.984000             -5.503429e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -25.609000             -3.233629e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -16.045000             -2.250629e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -12.954987             -1.924329e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -10.369710             -1.645329e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -8.901363              -1.483429e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -7.127127              -1.285629e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -5.209013              -1.070329e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.959509              -8.134290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.119725               -4.586290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   2.916033               -1.264290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -92.209000             -9.957429e+01         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -48.984000             -5.603429e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -26.609000             -3.333729e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -16.458000             -2.291929e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -12.975987             -1.926529e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -10.371709             -1.645529e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -8.902360              -1.483429e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -7.127127              -1.285729e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -5.209013              -1.070329e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.959509              -8.134290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.119725               -4.586290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   2.916033               -1.264290e+00         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -93.226000             -1.005913e+02         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -49.990000             -5.704029e+01         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -27.611000             -3.433829e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -17.405997             -2.386729e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -13.181979             -1.947129e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -10.385699             -1.646929e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -8.905348              -1.483729e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -7.127127              -1.285729e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -5.209013              -1.070329e+01         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -2.959509              -8.134290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   0.119725               -4.586290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   2.916033               -1.264290e+00         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -94.385999             -1.017513e+02         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -51.045000             -5.809529e+01         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -28.629000             -3.535629e+01         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -18.411965             -2.487329e+01         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -14.003859             -2.029229e+01         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -10.527584             -1.661129e+01         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -8.936230              -1.486929e+01         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -7.132978              -1.286229e+01         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -5.209013              -1.070329e+01         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   -2.959509              -8.134290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   0.119725               -4.586290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   2.916033               -1.264290e+00         -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   -96.734764             -1.041003e+02         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   -52.547000             -5.959729e+01         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   -29.799998             -3.652729e+01         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   -19.478616             -2.593929e+01         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   -15.034564             -2.132229e+01         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   -11.258814             -1.734329e+01         -100.00
5.000000      9.301030      -6.136337e-07  0.00  0.00   -9.222611              -1.515529e+01         -100.00
5.000000      9.477121      -7.626361e-07  0.00  0.00   -7.184624              -1.291429e+01         -100.00
5.000000      9.698970      -8.042927e-07  0.00  0.00   -5.217492              -1.071129e+01         -100.00
5.000000      10.000000     -8.155079e-07  0.00  0.00   -2.960509              -8.135290e+00         -100.00
5.000000      10.477121     -8.187123e-07  0.00  0.00   0.119725               -4.586290e+00         -100.00
5.000000      11.000000     -8.187123e-07  0.00  0.00   2.916033               -1.264290e+00         -100.00
6.000000      7.000000       3.444680e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
6.000000      8.000000       3.428658e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
6.000000      8.301030       3.412636e-07  0.00  0.00   -56.730000             -6.378029e+01         -100.00
6.000000      8.602060       3.316506e-07  0.00  0.00   -32.073757             -3.880029e+01         -100.00
6.000000      8.845098       3.028114e-07  0.00  0.00   -21.020858             -2.747629e+01         -100.00
6.000000      9.000000       2.579504e-07  0.00  0.00   -16.320652             -2.260629e+01         -100.00
6.000000      9.176091       1.490024e-07  0.00  0.00   -12.375935             -1.846029e+01         -100.00
