!49mn -> 49cr, e- capture
!Q=-7.204 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   0.251001               -4.997290e+00         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   0.251000               -4.997290e+00         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   0.251000               -4.997290e+00         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   0.251000               -4.997290e+00         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   0.251001               -4.998290e+00         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   0.250010               -4.999290e+00         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   0.248141               -5.001290e+00         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   0.245614               -5.002290e+00         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   0.244573               -5.001290e+00         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   0.257793               -4.963290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   0.495696               -4.521290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   2.220209               -2.385290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.729073               5.817104e-01          -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   0.251009               -4.997290e+00         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   0.251003               -4.997290e+00         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   0.251002               -4.997290e+00         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   0.251002               -4.997290e+00         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   0.251001               -4.998290e+00         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   0.250011               -4.999290e+00         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   0.248141               -5.001290e+00         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   0.245616               -5.002290e+00         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   0.244573               -5.001290e+00         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   0.257793               -4.963290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   0.495696               -4.521290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   2.220209               -2.385290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.729073               5.817104e-01          -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   0.251068               -4.997290e+00         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   0.251030               -4.997290e+00         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   0.251022               -4.997290e+00         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   0.251016               -4.997290e+00         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   0.251013               -4.998290e+00         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   0.250018               -4.999290e+00         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   0.248145               -5.001290e+00         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   0.245620               -5.002290e+00         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   0.244573               -5.001290e+00         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   0.257793               -4.963290e+00         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   0.495696               -4.521290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   2.220209               -2.385290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   4.729073               5.817104e-01          -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   0.251349               -4.997290e+00         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   0.251269               -4.997290e+00         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   0.251211               -4.997290e+00         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   0.251161               -4.997290e+00         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   0.251130               -4.998290e+00         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   0.250116               -4.999290e+00         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   0.248201               -5.001290e+00         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   0.245666               -5.002290e+00         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   0.244614               -5.001290e+00         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   0.257849               -4.963290e+00         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   0.495696               -4.521290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   2.220209               -2.385290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   4.729073               5.817104e-01          -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   0.252733               -4.994290e+00         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   0.252702               -4.994290e+00         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   0.252618               -4.994290e+00         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   0.252432               -4.994290e+00         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   0.252242               -4.995290e+00         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   0.251130               -4.996290e+00         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   0.249045               -4.999290e+00         -100.00
5.000000      9.301030      -6.136337e-07  0.00  0.00   0.246271               -5.001290e+00         -100.00
5.000000      9.477121      -7.626361e-07  0.00  0.00   0.245071               -4.999290e+00         -100.00
5.000000      9.698970      -8.042927e-07  0.00  0.00   0.258241               -4.962290e+00         -100.00
5.000000      10.000000     -8.155079e-07  0.00  0.00   0.496136               -4.520290e+00         -100.00
5.000000      10.477121     -8.187123e-07  0.00  0.00   2.220209               -2.385290e+00         -100.00
5.000000      11.000000     -8.187123e-07  0.00  0.00   4.729073               5.817104e-01          -100.00
6.000000      7.000000       3.444680e-07  0.00  0.00   0.261460               -4.976290e+00         -100.00
6.000000      8.000000       3.428658e-07  0.00  0.00   0.261460               -4.976290e+00         -100.00
6.000000      8.301030       3.412636e-07  0.00  0.00   0.261437               -4.976290e+00         -100.00
6.000000      8.602060       3.316506e-07  0.00  0.00   0.261366               -4.976290e+00         -100.00
6.000000      8.845098       3.028114e-07  0.00  0.00   0.261179               -4.977290e+00         -100.00
6.000000      9.000000       2.579504e-07  0.00  0.00   0.259972               -4.978290e+00         -100.00
6.000000      9.176091       1.490024e-07  0.00  0.00   0.257637               -4.981290e+00         -100.00
6.000000      9.301030       1.602177e-09  0.00  0.00   0.254485               -4.983290e+00         -100.00
6.000000      9.477121      -3.396614e-07  0.00  0.00   0.251508               -4.985290e+00         -100.00
6.000000      9.698970      -6.729142e-07  0.00  0.00   0.263972               -4.951290e+00         -100.00
6.000000      10.000000     -7.866687e-07  0.00  0.00   0.499677               -4.515290e+00         -100.00
6.000000      10.477121     -8.155079e-07  0.00  0.00   2.220209               -2.384290e+00         -100.00
6.000000      11.000000     -8.187123e-07  0.00  0.00   4.729073               5.817104e-01          -100.00
7.000000      7.000000       1.140750e-06  0.00  0.00   0.332199               -4.838290e+00         -100.00
7.000000      8.000000       1.139148e-06  0.00  0.00   0.332199               -4.838290e+00         -100.00
7.000000      8.301030       1.139148e-06  0.00  0.00   0.332370               -4.838290e+00         -100.00
7.000000      8.602060       1.134341e-06  0.00  0.00   0.332370               -4.838290e+00         -100.00
7.000000      8.845098       1.123126e-06  0.00  0.00   0.332370               -4.838290e+00         -100.00
7.000000      9.000000       1.103900e-06  0.00  0.00   0.331712               -4.838290e+00         -100.00
7.000000      9.176091       1.060641e-06  0.00  0.00   0.330228               -4.839290e+00         -100.00
7.000000      9.301030       9.965539e-07  0.00  0.00   0.328095               -4.839290e+00         -100.00
7.000000      9.477121       8.171101e-07  0.00  0.00   0.326387               -4.837290e+00         -100.00
7.000000      9.698970       2.996070e-07  0.00  0.00   0.332122               -4.817290e+00         -100.00
7.000000      10.000000     -5.046856e-07  0.00  0.00   0.540595               -4.455290e+00         -100.00
7.000000      10.477121     -7.850666e-07  0.00  0.00   2.224098               -2.381290e+00         -100.00
7.000000      11.000000     -8.155079e-07  0.00  0.00   4.729073               5.817104e-01          -100.00
8.000000      7.000000       3.101814e-06  0.00  0.00   0.783742               -4.176290e+00         -100.00
8.000000      8.000000       3.101814e-06  0.00  0.00   0.783742               -4.176290e+00         -100.00
8.000000      8.301030       3.100212e-06  0.00  0.00   0.783742               -4.176290e+00         -100.00
8.000000      8.602060       3.098610e-06  0.00  0.00   0.783742               -4.176290e+00         -100.00
8.000000      8.845098       3.093803e-06  0.00  0.00   0.783742               -4.175290e+00         -100.00
8.000000      9.000000       3.085792e-06  0.00  0.00   0.783449               -4.175290e+00         -100.00
8.000000      9.176091       3.064964e-06  0.00  0.00   0.783573               -4.175290e+00         -100.00
8.000000      9.301030       3.036125e-06  0.00  0.00   0.783411               -4.173290e+00         -100.00
8.000000      9.477121       2.954414e-06  0.00  0.00   0.787256               -4.165290e+00         -100.00
8.000000      9.698970       2.693259e-06  0.00  0.00   0.806127               -4.136290e+00         -100.00
8.000000      10.000000      1.573337e-06  0.00  0.00   0.919521               -3.970290e+00         -100.00
8.000000      10.477121     -4.838573e-07  0.00  0.00   2.253378               -2.351290e+00         -100.00
8.000000      11.000000     -7.882709e-07  0.00  0.00   4.730073               5.827104e-01          -100.00
9.000000      7.000000       7.480563e-06  0.00  0.00   1.874460               -2.950290e+00         -100.00
9.000000      8.000000       7.480563e-06  0.00  0.00   1.874460               -2.950290e+00         -100.00
9.000000      8.301030       7.480563e-06  0.00  0.00   1.874460               -2.950290e+00         -100.00
9.000000      8.602060       7.480563e-06  0.00  0.00   1.874460               -2.950290e+00         -100.00
9.000000      8.845098       7.477358e-06  0.00  0.00   1.874460               -2.950290e+00         -100.00
9.000000      9.000000       7.474154e-06  0.00  0.00   1.874437               -2.950290e+00         -100.00
9.000000      9.176091       7.464541e-06  0.00  0.00   1.873413               -2.951290e+00         -100.00
9.000000      9.301030       7.450121e-06  0.00  0.00   1.873342               -2.950290e+00         -100.00
9.000000      9.477121       7.413271e-06  0.00  0.00   1.876179               -2.947290e+00         -100.00
9.000000      9.698970       7.291506e-06  0.00  0.00   1.888770               -2.930290e+00         -100.00
9.000000      10.000000      6.724335e-06  0.00  0.00   1.960738               -2.833290e+00         -100.00
9.000000      10.477121      2.340780e-06  0.00  0.00   2.529348               -2.068290e+00         -100.00
9.000000      11.000000     -5.191052e-07  0.00  0.00   4.738072               5.907104e-01          -100.00
10.000000     7.000000       1.699429e-05  0.00  0.00   3.301387               -1.394290e+00         -100.00
10.000000     8.000000       1.699429e-05  0.00  0.00   3.301387               -1.394290e+00         -100.00
10.000000     8.301030       1.699429e-05  0.00  0.00   3.301387               -1.394290e+00         -100.00
10.000000     8.602060       1.699429e-05  0.00  0.00   3.301387               -1.394290e+00         -100.00
10.000000     8.845098       1.699269e-05  0.00  0.00   3.301387               -1.394290e+00         -100.00
10.000000     9.000000       1.699108e-05  0.00  0.00   3.300387               -1.395290e+00         -100.00
10.000000     9.176091       1.698628e-05  0.00  0.00   3.299386               -1.396290e+00         -100.00
10.000000     9.301030       1.697987e-05  0.00  0.00   3.299383               -1.396290e+00         -100.00
10.000000     9.477121       1.696224e-05  0.00  0.00   3.298381               -1.396290e+00         -100.00
10.000000     9.698970       1.690617e-05  0.00  0.00   3.303372               -1.389290e+00         -100.00
10.000000     10.000000      1.664181e-05  0.00  0.00   3.332368               -1.345290e+00         -100.00
