!52cr -> 52mn, beta-decay
!Q=4.201 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -62.850000             -6.959829e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -36.836999             -4.332429e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -27.143949             -3.346329e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -19.311404             -2.544429e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -15.130619             -2.113629e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -10.618080             -1.643229e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -6.541805              -1.208829e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -3.029028              -8.219290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.148862               -4.478290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   2.833117               -1.303290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -63.849999             -7.059829e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -37.250997             -4.373729e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -27.165946             -3.348429e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -19.312400             -2.544629e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -15.131603             -2.113629e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -10.618080             -1.643229e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -6.541805              -1.208829e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -3.029028              -8.219290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.148862               -4.478290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   2.833117               -1.303290e+00         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -64.851987             -7.160029e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -38.198973             -4.468529e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -27.371913             -3.369029e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -19.326348             -2.546029e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -15.134552             -2.113929e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -10.618080             -1.643329e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -6.542541              -1.208829e+01         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -3.029028              -8.219290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   0.148862               -4.478290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   2.833117               -1.303290e+00         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -65.869865             -7.261829e+01         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -39.204732             -4.569129e+01         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -28.193428             -3.451229e+01         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -19.467711             -2.560129e+01         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -15.165006             -2.117029e+01         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -10.622735             -1.643829e+01         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -6.542541              -1.208929e+01         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   -3.029028              -8.219290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   0.148862               -4.478290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   2.833117               -1.303290e+00         -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   -67.039493             -7.378729e+01         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   -40.268337             -4.675529e+01         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   -29.219220             -3.553529e+01         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   -20.192011             -2.632229e+01         -100.00
