!52v -> 52ti, e- capture
!Q=2.484 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -60.868000             -6.794329e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -35.693000             -4.246029e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -24.127000             -3.064129e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -18.370999             -2.472129e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -13.675995             -1.983529e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -11.198979             -1.721929e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -8.516807              -1.433329e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -5.960282              -1.151029e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -3.054820              -8.238290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.902792               -3.773290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.039038               -1.282896e-01         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -59.868000             -6.694229e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -34.693000             -4.146029e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -23.714000             -3.022829e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -18.349999             -2.470029e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -13.674995             -1.983429e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -11.198979             -1.721829e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -8.516807              -1.433329e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -5.960282              -1.151029e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -3.054820              -8.238290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.902792               -3.773290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.039038               -1.282896e-01         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -58.862000             -6.593729e+01         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -33.691000             -4.045829e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -22.766000             -2.928029e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -18.144000             -2.449429e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -13.659995             -1.981929e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -11.195979             -1.721529e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -8.516807              -1.433329e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -5.960282              -1.151029e+01         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -3.054820              -8.238290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   0.902792               -3.773290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   4.039038               -1.282896e-01         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -57.807000             -6.488229e+01         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -32.673000             -3.944029e+01         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -21.760000             -2.827429e+01         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -17.322000             -2.367229e+01         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -13.517996             -1.967829e+01         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -11.163981             -1.718329e+01         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -8.510810              -1.432729e+01         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -5.959286              -1.150929e+01         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   -3.054820              -8.238290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   0.902792               -3.773290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   4.039038               -1.282896e-01         -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   -56.305000             -6.337929e+01         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   -31.503000             -3.826929e+01         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   -20.693000             -2.720729e+01         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   -16.291000             -2.264129e+01         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   -12.784999             -1.894429e+01         -100.00
