!55co -> 55ni, beta-decay
!Q=8.183 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -63.009000             -6.953929e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -44.805998             -5.117929e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -30.512982             -3.670429e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -23.248920             -2.930929e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -15.812564             -2.168529e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -9.577462              -1.520229e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -4.433409              -9.703290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   -0.190306              -4.915290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   2.803039               -1.385290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -63.422000             -6.995229e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -44.827998             -5.120029e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -30.514982             -3.670529e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -23.248920             -2.930929e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -15.812564             -2.168529e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -9.577462              -1.520229e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -4.433409              -9.703290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   -0.190306              -4.915290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   2.803039               -1.385290e+00         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -64.369996             -7.090029e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -45.033997             -5.140629e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -30.528982             -3.672029e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -23.251919             -2.931229e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -15.813563             -2.168529e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -9.577462              -1.520229e+01         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -4.433409              -9.703290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   -0.190306              -4.915290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   2.803039               -1.385290e+00         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -65.375964             -7.190729e+01         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -45.855981             -5.222829e+01         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -30.670975             -3.686229e+01         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -23.283913             -2.934429e+01         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -15.818559             -2.169129e+01         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -9.577462              -1.520329e+01         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   -4.433409              -9.703290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   -0.190306              -4.915290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   2.803039               -1.385290e+00         -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   -66.442670             -7.297329e+01         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   -46.886820             -5.325929e+01         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   -31.403870             -3.759529e+01         -100.00
