!55cr -> 55mn, beta-decay
!Q=-3.1141 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -2.477000              -8.096290e+00         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -2.477000              -8.096290e+00         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -2.477000              -8.096290e+00         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -2.477000              -8.096290e+00         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -2.481000              -8.100290e+00         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -2.490994              -8.109290e+00         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -2.515881              -8.134290e+00         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -2.540328              -8.153290e+00         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -2.544628              -8.130290e+00         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -2.208095              -7.616290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -1.008426              -6.213290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.827111               -3.845290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   3.311229               -8.562896e-01         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -2.477000              -8.096290e+00         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -2.477000              -8.096290e+00         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -2.477000              -8.096290e+00         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -2.477000              -8.096290e+00         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -2.481000              -8.100290e+00         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -2.490994              -8.109290e+00         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -2.515882              -8.134290e+00         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -2.540328              -8.153290e+00         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -2.544628              -8.130290e+00         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -2.208095              -7.616290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -1.008426              -6.213290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.827111               -3.845290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   3.311229               -8.562896e-01         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -2.477000              -8.096290e+00         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -2.477000              -8.096290e+00         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -2.477000              -8.096290e+00         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -2.477000              -8.096290e+00         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -2.481000              -8.100290e+00         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -2.490996              -8.109290e+00         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -2.515886              -8.134290e+00         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -2.540333              -8.153290e+00         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -2.544641              -8.130290e+00         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -2.208095              -7.616290e+00         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -1.008426              -6.213290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   0.827111               -3.845290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   3.311229               -8.562896e-01         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -2.478000              -8.097290e+00         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -2.477000              -8.097290e+00         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -2.477000              -8.096290e+00         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -2.477000              -8.096290e+00         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -2.481000              -8.100290e+00         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -2.490999              -8.110290e+00         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -2.515917              -8.134290e+00         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -2.540380              -8.153290e+00         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -2.544702              -8.131290e+00         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -2.208161              -7.616290e+00         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   -1.008426              -6.213290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   0.827111               -3.845290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   3.311229               -8.562896e-01         -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   -2.481000              -8.102290e+00         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   -2.480000              -8.102290e+00         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   -2.480000              -8.101290e+00         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   -2.480000              -8.101290e+00         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   -2.483000              -8.104290e+00         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   -2.493000              -8.113290e+00         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   -2.517985              -8.137290e+00         -100.00
5.000000      9.301030      -6.136337e-07  0.00  0.00   -2.541678              -8.156290e+00         -100.00
5.000000      9.477121      -7.626361e-07  0.00  0.00   -2.546286              -8.133290e+00         -100.00
5.000000      9.698970      -8.042927e-07  0.00  0.00   -2.208688              -7.617290e+00         -100.00
5.000000      10.000000     -8.155079e-07  0.00  0.00   -1.008599              -6.213290e+00         -100.00
5.000000      10.477121     -8.187123e-07  0.00  0.00   0.827111               -3.845290e+00         -100.00
5.000000      11.000000     -8.187123e-07  0.00  0.00   3.311229               -8.562896e-01         -100.00
6.000000      7.000000       3.444680e-07  0.00  0.00   -2.498000              -8.131290e+00         -100.00
6.000000      8.000000       3.428658e-07  0.00  0.00   -2.498000              -8.130290e+00         -100.00
6.000000      8.301030       3.412636e-07  0.00  0.00   -2.498000              -8.130290e+00         -100.00
6.000000      8.602060       3.316506e-07  0.00  0.00   -2.497000              -8.130290e+00         -100.00
6.000000      8.845098       3.028114e-07  0.00  0.00   -2.500000              -8.132290e+00         -100.00
6.000000      9.000000       2.579504e-07  0.00  0.00   -2.509000              -8.140290e+00         -100.00
6.000000      9.176091       1.490024e-07  0.00  0.00   -2.531999              -8.160290e+00         -100.00
6.000000      9.301030       1.602177e-09  0.00  0.00   -2.553964              -8.176290e+00         -100.00
6.000000      9.477121      -3.396614e-07  0.00  0.00   -2.556246              -8.150290e+00         -100.00
6.000000      9.698970      -6.729142e-07  0.00  0.00   -2.215428              -7.627290e+00         -100.00
6.000000      10.000000     -7.866687e-07  0.00  0.00   -1.010141              -6.216290e+00         -100.00
6.000000      10.477121     -8.155079e-07  0.00  0.00   0.827111               -3.845290e+00         -100.00
6.000000      11.000000     -8.187123e-07  0.00  0.00   3.311229               -8.562896e-01         -100.00
7.000000      7.000000       1.140750e-06  0.00  0.00   -2.613000              -8.310290e+00         -100.00
7.000000      8.000000       1.139148e-06  0.00  0.00   -2.613000              -8.310290e+00         -100.00
7.000000      8.301030       1.139148e-06  0.00  0.00   -2.612000              -8.309290e+00         -100.00
7.000000      8.602060       1.134341e-06  0.00  0.00   -2.612000              -8.308290e+00         -100.00
7.000000      8.845098       1.123126e-06  0.00  0.00   -2.614000              -8.309290e+00         -100.00
7.000000      9.000000       1.103900e-06  0.00  0.00   -2.622000              -8.314290e+00         -100.00
7.000000      9.176091       1.060641e-06  0.00  0.00   -2.641000              -8.325290e+00         -100.00
7.000000      9.301030       9.965539e-07  0.00  0.00   -2.656999              -8.328290e+00         -100.00
7.000000      9.477121       8.171101e-07  0.00  0.00   -2.639869              -8.267290e+00         -100.00
7.000000      9.698970       2.996070e-07  0.00  0.00   -2.261310              -7.690290e+00         -100.00
7.000000      10.000000     -5.046856e-07  0.00  0.00   -1.027024              -6.243290e+00         -100.00
7.000000      10.477121     -7.850666e-07  0.00  0.00   0.824401               -3.848290e+00         -100.00
7.000000      11.000000     -8.155079e-07  0.00  0.00   3.311229               -8.562896e-01         -100.00
8.000000      7.000000       3.101814e-06  0.00  0.00   -3.613000              -9.720290e+00         -100.00
8.000000      8.000000       3.101814e-06  0.00  0.00   -3.612000              -9.718290e+00         -100.00
8.000000      8.301030       3.100212e-06  0.00  0.00   -3.610000              -9.715290e+00         -100.00
8.000000      8.602060       3.098610e-06  0.00  0.00   -3.603000              -9.700290e+00         -100.00
8.000000      8.845098       3.093803e-06  0.00  0.00   -3.587000              -9.664290e+00         -100.00
8.000000      9.000000       3.085792e-06  0.00  0.00   -3.568000              -9.618290e+00         -100.00
