!55ni -> 55co, e- capture
!Q=-8.183 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   0.543001               -4.645290e+00         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   0.543000               -4.645290e+00         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   0.543000               -4.645290e+00         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   0.543000               -4.645290e+00         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   0.543000               -4.645290e+00         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   0.543008               -4.645290e+00         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   0.543106               -4.644290e+00         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   0.543459               -4.644290e+00         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   0.545633               -4.640290e+00         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   0.559101               -4.609290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   0.740972               -4.271290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   2.406218               -2.205290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.920071               7.707104e-01          -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   0.543007               -4.645290e+00         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   0.543002               -4.645290e+00         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   0.543002               -4.645290e+00         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   0.543001               -4.645290e+00         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   0.543001               -4.645290e+00         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   0.543008               -4.645290e+00         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   0.543106               -4.644290e+00         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   0.543459               -4.644290e+00         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   0.545633               -4.640290e+00         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   0.559101               -4.609290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   0.740972               -4.271290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   2.406218               -2.205290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.920071               7.707104e-01          -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   0.543054               -4.645290e+00         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   0.543024               -4.645290e+00         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   0.543017               -4.645290e+00         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   0.543013               -4.645290e+00         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   0.543010               -4.645290e+00         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   0.543013               -4.645290e+00         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   0.543110               -4.644290e+00         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   0.543463               -4.644290e+00         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   0.545633               -4.640290e+00         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   0.559101               -4.609290e+00         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   0.740972               -4.271290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   2.406218               -2.205290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   4.920071               7.707104e-01          -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   0.543273               -4.644290e+00         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   0.543211               -4.644290e+00         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   0.543165               -4.644290e+00         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   0.543124               -4.644290e+00         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   0.543100               -4.644290e+00         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   0.543089               -4.645290e+00         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   0.543152               -4.644290e+00         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   0.543497               -4.644290e+00         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   0.545663               -4.639290e+00         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   0.559142               -4.609290e+00         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   0.740972               -4.271290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   2.406218               -2.205290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   4.920071               7.707104e-01          -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   0.544349               -4.642290e+00         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   0.544325               -4.642290e+00         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   0.544256               -4.642290e+00         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   0.544105               -4.642290e+00         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   0.543951               -4.643290e+00         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   0.543858               -4.643290e+00         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   0.543788               -4.643290e+00         -100.00
5.000000      9.301030      -6.136337e-07  0.00  0.00   0.543949               -4.643290e+00         -100.00
5.000000      9.477121      -7.626361e-07  0.00  0.00   0.546001               -4.639290e+00         -100.00
5.000000      9.698970      -8.042927e-07  0.00  0.00   0.559472               -4.608290e+00         -100.00
5.000000      10.000000     -8.155079e-07  0.00  0.00   0.741341               -4.271290e+00         -100.00
5.000000      10.477121     -8.187123e-07  0.00  0.00   2.406218               -2.205290e+00         -100.00
5.000000      11.000000     -8.187123e-07  0.00  0.00   4.920071               7.707104e-01          -100.00
6.000000      7.000000       3.444680e-07  0.00  0.00   0.550940               -4.628290e+00         -100.00
6.000000      8.000000       3.428658e-07  0.00  0.00   0.550940               -4.628290e+00         -100.00
6.000000      8.301030       3.412636e-07  0.00  0.00   0.550922               -4.628290e+00         -100.00
6.000000      8.602060       3.316506e-07  0.00  0.00   0.550868               -4.628290e+00         -100.00
6.000000      8.845098       3.028114e-07  0.00  0.00   0.550708               -4.629290e+00         -100.00
6.000000      9.000000       2.579504e-07  0.00  0.00   0.550517               -4.629290e+00         -100.00
6.000000      9.176091       1.490024e-07  0.00  0.00   0.550247               -4.630290e+00         -100.00
6.000000      9.301030       1.602177e-09  0.00  0.00   0.550067               -4.630290e+00         -100.00
6.000000      9.477121      -3.396614e-07  0.00  0.00   0.550761               -4.628290e+00         -100.00
6.000000      9.698970      -6.729142e-07  0.00  0.00   0.563966               -4.600290e+00         -100.00
6.000000      10.000000     -7.866687e-07  0.00  0.00   0.744689               -4.266290e+00         -100.00
6.000000      10.477121     -8.155079e-07  0.00  0.00   2.407188               -2.205290e+00         -100.00
6.000000      11.000000     -8.187123e-07  0.00  0.00   4.920071               7.707104e-01          -100.00
7.000000      7.000000       1.140750e-06  0.00  0.00   0.604341               -4.524290e+00         -100.00
7.000000      8.000000       1.139148e-06  0.00  0.00   0.604341               -4.524290e+00         -100.00
7.000000      8.301030       1.139148e-06  0.00  0.00   0.604341               -4.524290e+00         -100.00
7.000000      8.602060       1.134341e-06  0.00  0.00   0.604341               -4.523290e+00         -100.00
7.000000      8.845098       1.123126e-06  0.00  0.00   0.604473               -4.523290e+00         -100.00
7.000000      9.000000       1.103900e-06  0.00  0.00   0.604605               -4.523290e+00         -100.00
7.000000      9.176091       1.060641e-06  0.00  0.00   0.605003               -4.522290e+00         -100.00
7.000000      9.301030       9.965539e-07  0.00  0.00   0.605537               -4.521290e+00         -100.00
7.000000      9.477121       8.171101e-07  0.00  0.00   0.607029               -4.517290e+00         -100.00
7.000000      9.698970       2.996070e-07  0.00  0.00   0.615299               -4.500290e+00         -100.00
7.000000      10.000000     -5.046856e-07  0.00  0.00   0.778808               -4.214290e+00         -100.00
7.000000      10.477121     -7.850666e-07  0.00  0.00   2.410128               -2.202290e+00         -100.00
7.000000      11.000000     -8.155079e-07  0.00  0.00   4.920071               7.707104e-01          -100.00
8.000000      7.000000       3.101814e-06  0.00  0.00   0.983582               -3.956290e+00         -100.00
