!56v -> 56cr, beta-decay
!Q=-9.561 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -0.639000              -5.948290e+00         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -0.601000              -5.891290e+00         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -0.320000              -5.527290e+00         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   0.006000               -5.159290e+00         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   0.158000               -4.996290e+00         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   0.210000               -4.943290e+00         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   0.224007               -4.931290e+00         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   0.207039               -4.951290e+00         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   0.164299               -4.998290e+00         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   0.133562               -5.027290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   0.231324               -4.880290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.356344               -3.348290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   3.877109               -3.012896e-01         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -0.639000              -5.948290e+00         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -0.601000              -5.891290e+00         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -0.320000              -5.527290e+00         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   0.006000               -5.159290e+00         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   0.158000               -4.996290e+00         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   0.210000               -4.943290e+00         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   0.224007               -4.931290e+00         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   0.207039               -4.951290e+00         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   0.164298               -4.998290e+00         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   0.133562               -5.027290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   0.231324               -4.880290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.356344               -3.348290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   3.877109               -3.012896e-01         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -0.639000              -5.948290e+00         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -0.601000              -5.891290e+00         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -0.320000              -5.527290e+00         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   0.006000               -5.159290e+00         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   0.158000               -4.996290e+00         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   0.210000               -4.943290e+00         -100.00
