!57cr -> 57v, e- capture
!Q=8.531 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -65.332000             -7.186029e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -46.456000             -5.282429e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -31.559999             -3.774529e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -23.995994             -3.004929e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -16.274940             -2.213629e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -9.839578              -1.545229e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -4.484336              -9.745290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.467972               -4.233290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   3.881028               -2.852896e-01         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -64.919000             -7.144729e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -46.435000             -5.280329e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -31.558999             -3.774429e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -23.995994             -3.004829e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -16.274940             -2.213629e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -9.839578              -1.545229e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -4.484336              -9.745290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.467972               -4.233290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   3.881028               -2.852896e-01         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -63.971000             -7.049829e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -46.228000             -5.259729e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -31.543999             -3.772929e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -23.992994             -3.004529e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -16.273940             -2.213629e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -9.839578              -1.545229e+01         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -4.484336              -9.745290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   0.467972               -4.233290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   3.881028               -2.852896e-01         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -62.965000             -6.949229e+01         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -45.407000             -5.177529e+01         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -31.401999             -3.758729e+01         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -23.960994             -3.001429e+01         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -16.268940             -2.213029e+01         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -9.838579              -1.545129e+01         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   -4.483344              -9.745290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   0.467972               -4.233290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   3.881028               -2.852896e-01         -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   -61.899000             -6.842629e+01         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   -44.375000             -5.074329e+01         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   -30.669000             -3.685429e+01         -100.00
