!57fe -> 57co, beta-decay
!Q=0.325 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -58.544000             -6.524929e+01         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -33.297836             -3.999729e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -19.583657             -2.578029e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -12.993997             -1.909329e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -11.139466             -1.717029e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -9.549264              -1.547029e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -8.551561              -1.437729e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -6.998887              -1.266729e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -4.740629              -1.020929e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -2.343635              -7.577290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.482706               -4.191290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   3.164129               -1.007290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -58.544000             -6.524929e+01         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -33.301683             -4.000629e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -20.362767             -2.669829e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -13.403833             -1.950629e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -11.161231             -1.719129e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -9.550228              -1.547229e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -8.551561              -1.437729e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -6.998887              -1.266729e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -4.740629              -1.020929e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -2.343635              -7.577290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.482706               -4.191290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   3.164129               -1.007290e+00         -100.00
