!58ni -> 58co, e- capture
!Q=0.892 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -82.570875             -8.840129e+01         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -46.069828             -5.189529e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -27.850781             -3.368329e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -19.383589             -2.522929e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -14.892951             -2.074629e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -11.169492             -1.700829e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -9.133311              -1.493329e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -6.751420              -1.244529e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -4.181395              -9.661290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -1.398025              -6.541290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.761496               -2.927290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.587058               4.167104e-01          -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -81.571987             -8.740229e+01         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -45.069983             -5.089529e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -26.851978             -3.268329e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -18.972294             -2.481729e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -14.871345             -2.072429e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -11.167540             -1.700729e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -9.133311              -1.493329e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -6.751420              -1.244529e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -4.181395              -9.661290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -1.398025              -6.541290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.761496               -2.927290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.587058               4.167104e-01          -100.00
