!61co -> 61fe, e- capture
!Q=4.489 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -60.730000             -6.749629e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -38.199000             -4.471229e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -27.984998             -3.433229e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -19.749968             -2.590429e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -15.464846             -2.147629e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -10.930976             -1.673429e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -6.877857              -1.240329e+01         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -3.011622              -8.188290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.127351               -3.555290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.265065               1.017104e-01          -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -59.730000             -6.649629e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -37.786000             -4.429829e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -27.962998             -3.431029e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -19.748968             -2.590229e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -15.463847             -2.147529e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -10.930976             -1.673429e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -6.877857              -1.240329e+01         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -3.011622              -8.188290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.127351               -3.555290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.265065               1.017104e-01          -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -58.728000             -6.549429e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -36.838000             -4.335029e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -27.756999             -3.410429e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -19.734969             -2.588829e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -15.460848             -2.147229e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -10.930976             -1.673329e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -6.877857              -1.240229e+01         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -3.011622              -8.188290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   1.127351               -3.555290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   4.265065               1.017104e-01          -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -57.710000             -6.447629e+01         -100.00
4.000000      8.845098      -2.787787e-07  0.00  0.00   -35.832000             -4.234429e+01         -100.00
4.000000      9.000000      -4.838573e-07  0.00  0.00   -26.935000             -3.328229e+01         -100.00
4.000000      9.176091      -7.434100e-07  0.00  0.00   -19.592978             -2.574629e+01         -100.00
4.000000      9.301030      -7.962818e-07  0.00  0.00   -15.428859             -2.144129e+01         -100.00
4.000000      9.477121      -8.123036e-07  0.00  0.00   -10.924990             -1.672829e+01         -100.00
4.000000      9.698970      -8.171101e-07  0.00  0.00   -6.876869              -1.240229e+01         -100.00
4.000000      10.000000     -8.187123e-07  0.00  0.00   -3.011622              -8.188290e+00         -100.00
4.000000      10.477121     -8.187123e-07  0.00  0.00   1.127351               -3.555290e+00         -100.00
4.000000      11.000000     -8.187123e-07  0.00  0.00   4.265065               1.017104e-01          -100.00
5.000000      7.000000       8.491536e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.000000       8.331318e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.301030       7.530230e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
5.000000      8.602060       4.165659e-08  0.00  0.00   -56.541000             -6.330729e+01         -100.00
5.000000      8.845098      -4.165659e-08  0.00  0.00   -34.766000             -4.127829e+01         -100.00
5.000000      9.000000      -1.570133e-07  0.00  0.00   -25.904000             -3.225229e+01         -100.00
5.000000      9.176091      -3.941355e-07  0.00  0.00   -18.859996             -2.501329e+01         -100.00
