!64zn -> 64cu, e- capture
!Q=1.089 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -41.048000             -4.842429e+01         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -26.007000             -3.307529e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -18.250000             -2.500529e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -14.100000             -2.059529e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -11.273999             -1.759829e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -8.804997              -1.492929e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -7.400994              -1.337829e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -5.751993              -1.151729e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -4.043997              -9.557290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -1.895000              -7.128290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.400000               -3.346290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.349000               1.637104e-01          -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -40.047000             -4.742229e+01         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -25.006000             -3.207529e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -17.250000             -2.400529e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -13.687000             -2.018229e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -11.251999             -1.757729e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -8.803997              -1.492829e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -7.399994              -1.337729e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -5.751993              -1.151729e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -4.043997              -9.557290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -1.895000              -7.128290e+00         -100.00
