!65zn -> 65cu, e- capture
!Q=-0.8409 MeV
!
!Log(rhoY)    Log(temp)     mu              dQ    Vs     Log(e-cap-rate)        Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg             erg   erg    Log(1/s)               Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -9.314845              -1.573229e+01         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -9.321723              -1.580529e+01         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -8.988638              -1.545229e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -8.383433              -1.481529e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -8.015586              -1.440829e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -7.742693              -1.383129e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -6.955382              -1.268829e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -6.242314              -1.189729e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -5.234604              -1.080429e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -3.929337              -9.368290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -1.903958              -7.133290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   1.387000               -3.359290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   4.332000               1.477104e-01          -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -9.057969              -1.518029e+01         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -9.211031              -1.548729e+01         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -8.935221              -1.526129e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -8.360984              -1.471229e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -8.004064              -1.435229e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -7.737462              -1.381829e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -6.953904              -1.268729e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -6.241444              -1.189729e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -5.234604              -1.080429e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -3.929337              -9.368290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -1.903958              -7.133290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   1.387000               -3.359290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   4.332000               1.477104e-01          -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -8.433925              -1.439029e+01         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -8.703693              -1.470229e+01         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -8.602492              -1.460429e+01         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -8.184177              -1.421729e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -7.878312              -1.394529e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -7.678201              -1.367729e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -6.943509              -1.267329e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -6.238834              -1.189429e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -5.234604              -1.080429e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -3.929337              -9.368290e+00         -100.00
