!p -> n, e- capture
!Q=1.2933 MeV
!
!rhoY         temp          mu             dQ    Vs     e-cap-rate        nu-energy-loss gamma-energy
!g/cm^3       K             1/s            erg   erg    1/s               erg/s          erg/s
1.000000e+01  1.000000e+07  -4.806530e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+01  1.000000e+08  -9.292624e-08  0.00  0.00   1.778279e-50      7.459512e-58   0.00  
1.000000e+01  2.000000e+08  -2.146917e-07  0.00  0.00   2.630268e-30      2.237229e-37   0.00  
1.000000e+01  4.000000e+08  -4.902661e-07  0.00  0.00   5.470160e-20      9.543560e-27   0.00  
1.000000e+01  7.000000e+08  -8.058948e-07  0.00  0.00   9.571941e-15      3.024896e-21   0.00  
1.000000e+01  1.000000e+09  -8.187123e-07  0.00  0.00   1.713957e-11      7.974627e-18   0.00  
1.000000e+01  1.500000e+09  -8.187123e-07  0.00  0.00   1.023293e-08      7.442355e-15   0.00  
1.000000e+01  2.000000e+09  -8.187123e-07  0.00  0.00   3.483373e-07      3.497119e-13   0.00  
1.000000e+01  3.000000e+09  -8.187123e-07  0.00  0.00   1.927525e-05      3.059922e-11   0.00  
1.000000e+01  5.000000e+09  -8.187123e-07  0.00  0.00   1.076465e-03      3.045863e-09   0.00  
1.000000e+01  1.000000e+10  -8.187123e-07  0.00  0.00   9.225714e-02      5.684737e-07   0.00  
1.000000e+01  3.000000e+10  -8.187123e-07  0.00  0.00   3.981072e+01      7.956286e-04   0.00  
1.000000e+01  1.000000e+11  -8.187123e-07  0.00  0.00   1.963360e+04      1.354286e+00   0.00  
1.000000e+02  1.000000e+07  -1.602177e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+02  1.000000e+08  -6.088271e-08  0.00  0.00   1.782379e-49      7.493943e-57   0.00  
1.000000e+02  2.000000e+08  -1.522068e-07  0.00  0.00   2.630268e-29      2.242386e-36   0.00  
1.000000e+02  4.000000e+08  -3.636941e-07  0.00  0.00   5.470160e-19      9.543560e-26   0.00  
1.000000e+02  7.000000e+08  -7.145708e-07  0.00  0.00   2.477422e-14      7.829074e-21   0.00  
1.000000e+02  1.000000e+09  -8.107014e-07  0.00  0.00   1.803018e-11      8.369710e-18   0.00  
1.000000e+02  1.500000e+09  -8.187123e-07  0.00  0.00   1.025652e-08      7.459512e-15   0.00  
1.000000e+02  2.000000e+09  -8.187123e-07  0.00  0.00   3.483373e-07      3.497119e-13   0.00  
1.000000e+02  3.000000e+09  -8.187123e-07  0.00  0.00   1.927525e-05      3.059922e-11   0.00  
1.000000e+02  5.000000e+09  -8.187123e-07  0.00  0.00   1.076465e-03      3.045863e-09   0.00  
1.000000e+02  1.000000e+10  -8.187123e-07  0.00  0.00   9.225714e-02      5.684737e-07   0.00  
1.000000e+02  3.000000e+10  -8.187123e-07  0.00  0.00   3.981072e+01      7.956286e-04   0.00  
1.000000e+02  1.000000e+11  -8.187123e-07  0.00  0.00   1.963360e+04      1.354286e+00   0.00  
1.000000e+03  1.000000e+07   3.204353e-09  0.00  0.00   1.002305e-100     1.605870e-106  0.00  
1.000000e+03  1.000000e+08  -2.883918e-08  0.00  0.00   1.853532e-48      7.775179e-56   0.00  
1.000000e+03  2.000000e+08  -8.811971e-08  0.00  0.00   2.666859e-28      2.268352e-35   0.00  
1.000000e+03  4.000000e+08  -2.355200e-07  0.00  0.00   5.495409e-18      9.587611e-25   0.00  
1.000000e+03  7.000000e+08  -5.030835e-07  0.00  0.00   2.197860e-13      6.945610e-20   0.00  
1.000000e+03  1.000000e+09  -7.450121e-07  0.00  0.00   2.897344e-11      1.348064e-17   0.00  
1.000000e+03  1.500000e+09  -8.107014e-07  0.00  0.00   1.061696e-08      7.721655e-15   0.00  
1.000000e+03  2.000000e+09  -8.171101e-07  0.00  0.00   3.515604e-07      3.521360e-13   0.00  
1.000000e+03  3.000000e+09  -8.187123e-07  0.00  0.00   1.931968e-05      3.059922e-11   0.00  
