!19f -> 19o, e- capture
!Q=-4.82 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -70.032000      -76.800290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -43.032000      -49.547290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -31.128993      -37.481290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -21.683905      -27.846290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -16.845685      -22.869290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00      -11.818238      -17.634290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -7.425483      -12.954290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -3.322652       -8.462290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        0.937887       -3.720290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -69.032000      -75.800290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -42.619000      -49.134290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -31.107993      -37.459290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -21.682906      -27.844290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -16.845685      -22.868290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00      -11.818238      -17.634290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -7.425483      -12.954290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -3.322652       -8.462290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        0.937887       -3.720290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -68.030000      -74.798290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -41.670000      -48.186290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -30.901996      -37.253290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -21.667909      -27.830290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -16.842688      -22.865290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00      -11.817242      -17.634290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -7.425483      -12.954290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -3.322652       -8.462290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        0.937887       -3.720290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -67.012000      -73.780290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -40.664000      -47.179290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -30.079999      -36.431290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -21.525934      -27.688290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -16.810709      -22.833290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00      -11.812259      -17.628290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -7.424483      -12.953290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -3.322652       -8.462290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        0.937887       -3.720290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -65.841000      -72.609290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -39.598000      -46.113290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -29.049000      -35.400290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -20.792988      -26.955290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -16.522849      -22.545290             -100.00  
