!19ne -> 19na, beta-decay
!Q=-11.177 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -80.211000           -86.737290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -56.684000           -63.050290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -38.287998           -44.469290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -28.985990           -35.035290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00      -19.517959           -25.376290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00      -11.648857           -17.261290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -5.194492           -10.461290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        0.287198            -4.441290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -80.624000           -87.150290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -56.706000           -63.071290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -38.289998           -44.471290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -28.986990           -35.035290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00      -19.517959           -25.376290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00      -11.648857           -17.261290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -5.194492           -10.461290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        0.287198            -4.441290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -81.573000           -88.098290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -56.912000           -63.278290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -38.303998           -44.485290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -28.989990           -35.039290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00      -19.517959           -25.376290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00      -11.649857           -17.261290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -5.194492           -10.461290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        0.287198            -4.441290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -82.578999           -89.104290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -57.733999           -64.100290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -38.445997           -44.627290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -29.021989           -35.070290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00      -19.523958           -25.382290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00      -11.649857           -17.261290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -5.194492           -10.461290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        0.287198            -4.441290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -83.644995           -90.171290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -58.764992           -65.131290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -39.178985           -45.361290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -29.309980           -35.359290             -100.00  
